controller,env_id,episode_id,episode_step,global_step,t,x,y,z,vx,vy,vz,speed,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz
rl,0,0,0,0,0.0,5.0,-5.0,1.0,0.0,0.0,0.0,0.0,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
rl,1,0,0,0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
rl,2,0,0,0,0.0,-5.0,-5.0,1.0,0.0,0.0,0.0,0.0,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
rl,3,0,0,0,0.0,-5.0,5.0,1.0,0.0,0.0,0.0,0.0,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
lqr,0,0,0,0,0.0,5.0,-5.0,1.0,0.0,0.0,0.0,0.0,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
lqr,1,0,0,0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
lqr,2,0,0,0,0.0,-5.0,-5.0,1.0,0.0,0.0,0.0,0.0,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
lqr,3,0,0,0,0.0,-5.0,5.0,1.0,0.0,0.0,0.0,0.0,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
rl,0,0,1,1,0.02,5.000079154968262,-5.001206874847412,0.9965444803237915,0.0022600525990128517,-0.03450707346200943,-0.09873108565807343,0.10461201518774033,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
rl,1,0,1,1,0.02,4.998834133148193,4.998054504394531,0.9965448379516602,-0.033222515136003494,-0.05560474097728729,-0.09872660785913467,0.11807864159345627,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
rl,2,0,1,1,0.02,-5.001708507537842,-5.001946449279785,0.9996538162231445,-0.048812512308359146,-0.05560581758618355,-0.009884495288133621,0.07464832067489624,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
rl,3,0,1,1,0.02,-4.998333930969238,4.9992146492004395,0.9971979260444641,0.047582630068063736,-0.0224415585398674,-0.08006385713815689,0.09580162167549133,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
lqr,0,0,1,1,0.02,4.981583118438721,-4.706820011138916,0.9697812795639038,-0.3364664912223816,5.356174468994141,-0.5521385073661804,5.395059585571289,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
lqr,1,0,1,1,0.02,4.907383918762207,4.681324005126953,1.0327659845352173,-1.692003607749939,-5.821950912475586,0.5986406207084656,6.092319965362549,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
lqr,2,0,1,1,0.02,-5.125555038452148,-5.240370273590088,0.9784146547317505,-2.293804407119751,-4.391383171081543,-0.3943939805030823,4.970043182373047,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
lqr,3,0,1,1,0.02,-5.379714012145996,4.719686508178711,1.0555176734924316,-6.937032699584961,-5.121099472045898,1.0142192840576172,8.681977272033691,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
rl,0,0,2,2,0.04,5.00003719329834,-5.004764080047607,0.9883777499198914,-0.0027839832473546267,-0.07697297632694244,-0.1628073751926422,0.18010783195495605,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
rl,1,0,2,2,0.04,4.994896411895752,4.992773056030273,0.9871656894683838,-0.08874667435884476,-0.11120778322219849,-0.1974503993988037,0.24337173998355865,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
rl,2,0,2,2,0.04,-5.005954265594482,-5.00544548034668,0.9968537092208862,-0.0864059254527092,-0.06024797260761261,-0.07293737679719925,0.12812362611293793,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
rl,3,0,2,2,0.04,-4.996580123901367,4.996676921844482,0.991326630115509,0.016116252169013023,-0.05648823454976082,-0.11055857688188553,0.12519526481628418,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
lqr,0,0,2,2,0.04,4.9641947746276855,-4.430061340332031,0.9412511587142944,-0.25548043847084045,4.067057132720947,-0.4192522466182709,4.096583366394043,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
lqr,1,0,2,2,0.04,4.8199567794799805,4.380499362945557,1.063698410987854,-1.2847857475280762,-4.420732021331787,0.45455625653266907,4.626031398773193,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
lqr,2,0,2,2,0.04,-5.244078636169434,-5.4672770500183105,0.9580354690551758,-1.7417407035827637,-3.334465265274048,-0.29947298765182495,3.773858070373535,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
lqr,3,0,2,2,0.04,-5.738158226013184,4.455074787139893,1.1079226732254028,-5.2674641609191895,-3.888547658920288,0.7701222896575928,6.592425346374512,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
rl,0,0,3,3,0.06,4.999444484710693,-5.008553504943848,0.9776059985160828,-0.014898557215929031,-0.053318072110414505,-0.19147372245788574,0.19931626319885254,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
rl,1,0,3,3,0.06,4.988595008850098,4.98491096496582,0.9735742211341858,-0.11664801090955734,-0.14520315825939178,-0.24727816879749298,0.3095758557319641,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
rl,2,0,3,3,0.06,-5.012205600738525,-5.007121562957764,0.9929143190383911,-0.11690680682659149,-0.004865711089223623,-0.060455575585365295,0.13170327246189117,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
rl,3,0,3,3,0.06,-4.997403144836426,4.991342067718506,0.9837607741355896,-0.03500005602836609,-0.11210304498672485,-0.13719435036182404,0.1805945336818695,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
lqr,0,0,3,3,0.06,4.951332092285156,-4.225290298461914,0.9201428890228271,-0.18781723082065582,2.989957332611084,-0.30820560455322266,3.011662483215332,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
lqr,1,0,3,3,0.06,4.755270481109619,4.157919406890869,1.0865848064422607,-0.9445392489433289,-3.2499616146087646,0.33416807651519775,3.400892972946167,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
lqr,2,0,3,3,0.06,-5.331774711608887,-5.635164260864258,0.9429577589035034,-1.2804654836654663,-2.451376438140869,-0.22015291452407837,2.7744016647338867,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
lqr,3,0,3,3,0.06,-6.003371238708496,4.259291172027588,1.146697998046875,-3.8724558353424072,-2.8587164878845215,0.5661807060241699,4.846518039703369,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
rl,0,0,4,4,0.08,4.997567653656006,-5.012906074523926,0.966343879699707,-0.042954977601766586,-0.08631984889507294,-0.1850024163722992,0.2086195945739746,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
rl,1,0,4,4,0.08,4.981123447418213,4.977189540863037,0.9591742753982544,-0.1301414668560028,-0.1168951615691185,-0.23480363190174103,0.29280373454093933,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
rl,2,0,4,4,0.08,-5.021162509918213,-5.006777763366699,0.9858312010765076,-0.17240120470523834,0.013303907588124275,-0.15917883813381195,0.23502567410469055,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
rl,3,0,4,4,0.08,-5.001447677612305,4.985300064086914,0.9744840264320374,-0.0904761552810669,-0.09255421906709671,-0.16704870760440826,0.21132318675518036,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
lqr,0,0,4,4,0.08,4.941885948181152,-4.074880123138428,0.9046385288238525,-0.13793103396892548,2.195712089538574,-0.22632820904254913,2.211651086807251,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
lqr,1,0,4,4,0.08,4.707754135131836,3.99442982673645,1.1033952236175537,-0.6936343312263489,-2.386645793914795,0.2453974485397339,2.497483968734741,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
lqr,2,0,4,4,0.08,-5.396187782287598,-5.758481025695801,0.931882917881012,-0.9403203725814819,-1.8001999855041504,-0.16166825592517853,2.037414789199829,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
lqr,3,0,4,4,0.08,-6.1981730461120605,4.115483283996582,1.1751805543899536,-2.84378981590271,-2.0993354320526123,0.41578543186187744,3.5591046810150146,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
rl,0,0,5,5,0.1,4.995512008666992,-5.019087314605713,0.9535225629806519,-0.028039410710334778,-0.11498279124498367,-0.23417869210243225,0.2623869478702545,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
rl,1,0,5,5,0.1,4.974369049072266,4.968227386474609,0.945522129535675,-0.0999976173043251,-0.17253020405769348,-0.2223442941904068,0.2986690104007721,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
