controller,env_id,episode_id,episode_step,global_step,t,x,y,z,vx,vy,vz,speed,goal_x,goal_y,goal_z,fx_body,fy_body,fz_body,body_force_norm,tx_body,ty_body,tz_body,body_torque_norm
rl,0,0,0,0,0.0,5.0,-5.0,1.0,0.0,0.0,0.0,0.0,3.2486393451690674,-3.9110448360443115,0.5774986147880554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,1,0,0,0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,5.616789817810059,6.598532676696777,0.6519380807876587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,2,0,0,0,0.0,-5.0,-5.0,1.0,0.0,0.0,0.0,0.0,-5.194790840148926,-6.404184341430664,0.7864688634872437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,3,0,0,0,0.0,-5.0,5.0,1.0,0.0,0.0,0.0,0.0,-3.527791976928711,3.7298262119293213,0.656267523765564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,0,0,0,0,0.0,5.0,-5.0,1.0,0.0,0.0,0.0,0.0,3.2486393451690674,-3.9110448360443115,0.5774986147880554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,1,0,0,0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,5.616789817810059,6.598532676696777,0.6519380807876587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,2,0,0,0,0.0,-5.0,-5.0,1.0,0.0,0.0,0.0,0.0,-5.194790840148926,-6.404184341430664,0.7864688634872437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,3,0,0,0,0.0,-5.0,5.0,1.0,0.0,0.0,0.0,0.0,-3.527791976928711,3.7298262119293213,0.656267523765564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,0,0,1,1,0.02,4.999443531036377,-4.9997878074646,1.0001248121261597,-0.027812644839286804,0.010641830042004585,0.006241109222173691,0.0304260291159153,3.2486393451690674,-3.9110448360443115,0.5774986147880554,-1.5005590915679932,0.5741509199142456,16.214941024780273,16.294343948364258,-0.0005332232103683054,-0.0018010451458394527,6.64485878587584e-06,0.0018783329287543893
rl,1,0,1,1,0.02,4.999650001525879,5.0004191398620605,0.9998650550842285,-0.017475834116339684,0.02096531167626381,-0.006743421778082848,0.02811446040868759,5.616789817810059,6.598532676696777,0.6519380807876587,-0.9427282810211182,1.1310604810714722,15.514436721801758,15.584151268005371,-0.0006526211509481072,-0.0015909490175545216,3.392375947441906e-05,0.0017199371941387653
rl,2,0,1,1,0.02,-5.000172138214111,-5.000555992126465,1.0001248121261597,-0.00861646980047226,-0.02780245803296566,0.006239383947104216,0.02976827323436737,-5.194790840148926,-6.404184341430664,0.7864688634872437,-0.46477463841438293,-1.4999933242797852,16.214988708496094,16.290851593017578,-2.415426388324704e-05,-0.001521565718576312,-6.276550266193226e-05,0.0015230512944981456
rl,3,0,1,1,0.02,-4.999700546264648,4.999443531036377,1.0001057386398315,0.014967352151870728,-0.02780228853225708,0.005287540145218372,0.032014790922403336,-3.527791976928711,3.7298262119293213,0.656267523765564,0.8077290058135986,-1.4999969005584717,16.163726806640625,16.253259658813477,-2.234023850178346e-05,-0.0011749423574656248,-4.961329614161514e-05,0.001176201505586505
lqr,0,0,1,1,0.02,4.830565452575684,-4.894649505615234,0.9588314890861511,-6.89280891418457,4.285796642303467,-1.6749604940414429,8.287603378295898,3.2486393451690674,-3.9110448360443115,0.5774986147880554,-141.9716796875,88.1934814453125,-20.160053253173828,168.34629821777344,-0.12984493374824524,-0.21823960542678833,0.01257475558668375,0.2542564868927002
