wall_time,step,value
1787764487.9170587,1000,-70.33399200439453
1787764493.0268028,2000,-72.08028411865234
1787764498.0870109,3000,-72.03663635253906
1787764503.1774452,4000,-76.5376968383789
1787764508.326277,5000,-71.72310638427734
1787764513.5269055,6000,-68.72030639648438
1787764518.7253113,7000,-80.93553924560547
1787764524.6702628,8000,-72.86817932128906
1787764536.1883109,9000,-73.54872131347656
1787764547.9211915,10000,-68.40360260009766
1787764563.8108277,11000,-69.33539581298828
1787764579.6955976,12000,-43.232666015625
1787764595.342261,13000,-59.6453742980957
1787764610.9547753,14000,-63.460472106933594
1787764626.6060865,15000,-64.88021087646484
1787764641.8563983,16000,-82.04241943359375
1787764656.436032,17000,-94.35086059570312
1787764670.7547095,18000,-324.6849670410156
1787764685.1095805,19000,-153.62197875976562
1787764699.3871453,20000,-290.7793884277344
1787764713.726892,21000,-263.3160400390625
1787764727.989393,22000,-314.6377258300781
1787764742.1843534,23000,-307.5202941894531
1787764756.2975957,24000,-336.02691650390625
1787764770.472407,25000,-163.66363525390625
1787764784.6363,26000,-224.82891845703125
1787764798.7047768,27000,-215.24806213378906
1787764812.7417185,28000,-337.01458740234375
1787764826.7328312,29000,-227.27801513671875
1787764840.8181744,30000,-281.2710266113281
1787764854.9217443,31000,-332.576171875
1787764868.9713027,32000,-161.92172241210938
1787764883.0813692,33000,-178.10549926757812
1787764897.0173192,34000,-371.92388916015625
1787764911.100688,35000,-352.3480224609375
1787764925.0902824,36000,-360.0342102050781
1787764939.114348,37000,-239.45852661132812
1787764953.1843326,38000,-246.26568603515625
1787764967.1253579,39000,-361.00360107421875
1787764981.2340322,40000,-249.36001586914062
1787764995.2926354,41000,-240.20599365234375
1787765009.2023292,42000,-351.552490234375
1787765023.2380607,43000,-366.4190979003906
1787765037.21515,44000,-136.536865234375
1787765051.3169732,45000,-114.44245910644531
1787765065.261462,46000,-249.4535675048828
1787765079.3170059,47000,-228.60125732421875
1787765096.010501,48000,-233.4120635986328
1787765116.9872184,49000,-238.63461303710938
1787765138.0013995,50000,-156.15576171875
1787765158.9215145,51000,-293.44647216796875
1787765179.8472342,52000,-295.97613525390625
1787765200.7940974,53000,-285.0984802246094
1787765221.7601857,54000,-258.26239013671875
1787765242.7840188,55000,-270.1621398925781
1787765263.4822083,56000,-293.6199645996094
1787765284.1421115,57000,-310.7791442871094
1787765304.936735,58000,-214.83242797851562
1787765325.5691817,59000,-324.15313720703125
1787765346.3381546,60000,-313.8360595703125
1787765367.0887418,61000,-170.66571044921875
1787765387.72886,62000,-321.23797607421875
1787765408.3886046,63000,-84.37045288085938
1787765428.9945095,64000,-327.51397705078125
1787765449.6611931,65000,-240.58302307128906
1787765470.4911683,66000,-220.9811553955078
1787765491.1953404,67000,-105.75070190429688
1787765511.7210236,68000,-295.0354309082031
1787765532.3300962,69000,-296.2708740234375
1787765552.89793,70000,-304.8107604980469
1787765573.5748742,71000,-197.1820526123047
1787765594.1506348,72000,-309.16156005859375
1787765614.745321,73000,-299.89703369140625
1787765635.2907732,74000,-291.63372802734375
1787765655.8390436,75000,-291.12640380859375
1787765676.3540304,76000,-292.09332275390625
1787765696.9961922,77000,-186.5489501953125
1787765717.6493516,78000,-197.32763671875
