wall_time,step,value
1787764487.9165955,1000,-5.657329082489014
1787764493.0263186,2000,-5.45426607131958
1787764498.0865517,3000,-5.533299446105957
1787764503.1769907,4000,-5.159674167633057
1787764508.3258271,5000,-5.595886707305908
1787764513.5264206,6000,-5.990270614624023
1787764518.724874,7000,-4.976447105407715
1787764524.6697724,8000,-5.5841593742370605
1787764536.187752,9000,-5.335608005523682
1787764547.9206522,10000,-5.657959461212158
1787764563.809984,11000,-4.977499485015869
1787764579.6947641,12000,-4.846940994262695
1787764595.3414292,13000,-3.962313413619995
1787764610.9536128,14000,-3.9277472496032715
1787764626.6050513,15000,-3.699697971343994
1787764641.855592,16000,-2.823945999145508
1787764656.4352033,17000,-2.0224263668060303
1787764670.7538497,18000,-0.7717100977897644
1787764685.1087651,19000,-1.091820240020752
1787764699.3864555,20000,-0.39416709542274475
1787764713.7261128,21000,-0.8051643371582031
1787764727.9887056,22000,-0.4271566569805145
1787764742.1835155,23000,-0.745183527469635
1787764756.2968163,24000,-0.793761670589447
1787764770.4715908,25000,-1.1766234636306763
1787764784.6354847,26000,-1.3788145780563354
1787764798.703967,27000,-1.1215124130249023
1787764812.740914,28000,-0.8027966022491455
1787764826.732029,29000,-1.0106350183486938
1787764840.8174694,30000,-0.5093696117401123
1787764854.9210067,31000,-0.38020259141921997
1787764868.9704256,32000,-0.4177912175655365
1787764883.080526,33000,-0.47742173075675964
1787764897.0165117,34000,-0.008332793600857258
1787764911.0998802,35000,0.4970969259738922
1787764925.0895395,36000,0.16897010803222656
1787764939.113615,37000,0.183470219373703
1787764953.1836112,38000,-0.05570467934012413
1787764967.1246305,39000,0.10618860274553299
1787764981.2333093,40000,-0.03283442184329033
1787764995.2919214,41000,-0.1500677913427353
1787765009.2016406,42000,0.10797150433063507
1787765023.237349,43000,0.1434897780418396
1787765037.214436,44000,-0.16577665507793427
1787765051.3161306,45000,-0.999509334564209
1787765065.2605824,46000,-0.09673663973808289
1787765079.3162742,47000,-0.22549806535243988
1787765096.0096962,48000,0.1788315325975418
1787765116.98646,49000,-0.26893481612205505
1787765138.0006342,50000,-0.611778199672699
1787765158.9206927,51000,0.015558384358882904
1787765179.8464162,52000,0.17258642613887787
1787765200.7931583,53000,0.007897183299064636
1787765221.7593474,54000,-0.08507426828145981
1787765242.7831588,55000,-0.2409662902355194
1787765263.4813879,56000,0.26534488797187805
1787765284.1413445,57000,0.021205756813287735
1787765304.9359608,58000,-0.10397624969482422
1787765325.5682254,59000,-0.11734892427921295
1787765346.3374293,60000,0.09495770931243896
1787765367.087876,61000,-0.2730754315853119
1787765387.7276123,62000,0.1760493814945221
1787765408.3878152,63000,-0.47975650429725647
1787765428.9935966,64000,0.2478269785642624
1787765449.6603227,65000,-0.09212517738342285
1787765470.4902236,66000,-0.01351943425834179
1787765491.1945252,67000,-1.1234402656555176
1787765511.7201788,68000,0.11263739317655563
1787765532.3292954,69000,0.17066387832164764
1787765552.8971827,70000,0.27096888422966003
1787765573.5740933,71000,0.03221788629889488
1787765594.149865,72000,0.3147543966770172
1787765614.7445621,73000,0.3626784384250641
1787765635.2899969,74000,0.3112938404083252
1787765655.8382044,75000,0.2887822091579437
1787765676.3529127,76000,0.24002110958099365
1787765696.995408,77000,0.05312495306134224
1787765717.6482348,78000,0.03365589305758476
1787765738.2517173,79000,-0.2254084348678589
1787765758.7595177,80000,0.08204925805330276
1787765779.2827075,81000,0.0394909493625164
1787765799.8209052,82000,0.003178701736032963
1787765820.3659546,83000,0.11998393386602402
1787765840.9234595,84000,0.28899821639060974
1787765861.4338803,85000,0.21456535160541534
1787765881.979972,86000,0.17100097239017487
1787765902.4985232,87000,0.30021318793296814
1787765923.0834072,88000,-0.697665810585022
1787765943.597981,89000,0.1170457974076271
1787765964.1912131,90000,0.3041172921657562
1787765984.7416506,91000,0.3272443115711212
1787766005.2493434,92000,0.25287047028541565
1787766025.8316169,93000,-0.05833540856838226
1787766046.3748572,94000,0.2514490485191345
1787766067.0200543,95000,-0.029404843226075172
1787766087.562582,96000,0.3718777596950531
1787766108.065319,97000,0.41469523310661316
1787766128.6720233,98000,0.4817878007888794
1787766149.321388,99000,-0.16435852646827698
1787766169.819217,100000,0.3478618264198303
1787766190.3664308,101000,0.36078765988349915
1787766211.0006928,102000,0.2507607638835907
1787766231.5617616,103000,0.479780912399292
1787766252.1798806,104000,0.29678118228912354
1787766272.698072,105000,0.5290980339050293
1787766293.2732327,106000,0.2950354814529419
