wall_time,step,value
1787764487.9166932,1000,-270.458740234375
1787764493.0264158,2000,-255.66197204589844
1787764498.086643,3000,-286.1951599121094
1787764503.17709,4000,-290.86895751953125
1787764508.3259234,5000,-280.05548095703125
1787764513.5265334,6000,-277.9725646972656
1787764518.7249696,7000,-296.8001708984375
1787764524.6698833,8000,-272.1473388671875
1787764536.1878633,9000,-290.2095947265625
1787764547.9207509,10000,-265.930908203125
1787764563.810413,11000,-284.9434509277344
1787764579.6951954,12000,-273.5067138671875
1787764595.341858,13000,-271.41571044921875
1787764610.954062,14000,-279.4642333984375
1787764626.605564,15000,-267.57940673828125
1787764641.8560083,16000,-294.47467041015625
1787764656.4356294,17000,-301.182373046875
1787764670.7542698,18000,-313.98028564453125
1787764685.1091821,19000,-295.456298828125
1787764699.3867822,20000,-272.5609130859375
1787764713.7265131,21000,-409.2117004394531
1787764727.989054,22000,-343.90478515625
1787764742.1839747,23000,-235.27386474609375
1787764756.2972078,24000,-470.6171569824219
1787764770.4720175,25000,-307.5311279296875
1787764784.6359017,26000,-359.9580078125
1787764798.7043803,27000,-327.76129150390625
1787764812.7413304,28000,-385.91131591796875
1787764826.7324162,29000,-310.1325988769531
1787764840.8178282,30000,-318.5275573730469
1787764854.9213738,31000,-252.5802001953125
1787764868.9708796,32000,-221.4563446044922
1787764883.0809956,33000,-205.88421630859375
1787764897.016948,34000,-113.17631530761719
1787764911.1003141,35000,189.4141387939453
1787764925.0899205,36000,5.277687072753906
1787764939.1139877,37000,-203.46995544433594
1787764953.1839728,38000,-204.4263916015625
1787764967.1249974,39000,-23.690540313720703
1787764981.2336876,40000,-239.41004943847656
1787764995.2922783,41000,-207.6779327392578
1787765009.2019875,42000,40.854434967041016
1787765023.2377179,43000,6.955305099487305
1787765037.214793,44000,-223.2405242919922
1787765051.3165526,45000,-235.1251220703125
1787765065.2610328,46000,-234.51123046875
1787765079.3166406,47000,-217.93014526367188
1787765096.0100732,48000,-227.73484802246094
1787765116.9868538,49000,-244.45834350585938
1787765138.0010283,50000,-225.75262451171875
1787765158.9211113,51000,-36.161678314208984
1787765179.8468275,52000,-0.536821722984314
1787765200.7935693,53000,22.17438507080078
1787765221.7597764,54000,-330.2066955566406
1787765242.783603,55000,-247.7725830078125
1787765263.481806,56000,-5.522650718688965
1787765284.1417406,57000,22.293119430541992
1787765304.9363625,58000,-219.3068084716797
1787765325.5686314,59000,-63.41679000854492
1787765346.3378026,60000,-20.155649185180664
1787765367.0883272,61000,-206.32969665527344
1787765387.7279928,62000,97.4383544921875
1787765408.388198,63000,-212.29522705078125
1787765428.9940984,64000,130.90682983398438
1787765449.66077,65000,-261.2962951660156
1787765470.4906495,66000,-213.25485229492188
1787765491.1949382,67000,-320.0852355957031
1787765511.7205505,68000,-21.365507125854492
1787765532.3297062,69000,14.805912971496582
1787765552.8974912,70000,166.46116638183594
1787765573.5744948,71000,-209.28199768066406
1787765594.1502562,72000,134.7911834716797
1787765614.7449496,73000,126.04857635498047
1787765635.2903895,74000,144.4933319091797
1787765655.838666,75000,91.02127075195312
1787765676.3533154,76000,148.72512817382812
1787765696.9958067,77000,-186.9548797607422
1787765717.6486328,78000,-194.10597229003906
1787765738.2521095,79000,-216.58828735351562
1787765758.7599015,80000,32.76018524169922
1787765779.283094,81000,-86.5126724243164
1787765799.8213203,82000,-209.6047821044922
1787765820.366336,83000,45.780311584472656
1787765840.9238403,84000,94.81830596923828
