wall_time,step,value
1787764563.8101778,11000,-10.345492362976074
1787764579.6949644,12000,-22.12382698059082
1787764595.3416271,13000,-32.70033645629883
1787764610.9538395,14000,-43.39474868774414
1787764626.6052465,15000,-53.16978073120117
1787764641.8557887,16000,-63.91109085083008
1787764656.4353952,17000,-72.97126770019531
1787764670.7540395,18000,-76.6863784790039
1787764685.1089644,19000,-78.15392303466797
1787764699.3866003,20000,-77.14662170410156
1787764713.726302,21000,-75.00924682617188
1787764727.9888825,22000,-72.2099838256836
1787764742.1837711,23000,-69.13217163085938
1787764756.2970004,24000,-65.57691955566406
1787764770.4717913,25000,-63.36695098876953
1787764784.6356792,26000,-60.73430252075195
1787764798.7041612,27000,-59.25996398925781
1787764812.7410936,28000,-58.41511154174805
1787764826.7322142,29000,-58.22589111328125
1787764840.817649,30000,-55.70306396484375
1787764854.921186,31000,-55.275108337402344
1787764868.9706573,32000,-53.86061096191406
1787764883.0807772,33000,-52.97751235961914
1787764897.0167465,34000,-51.60606002807617
1787764911.1001194,35000,-49.269317626953125
1787764925.0897253,36000,-46.784385681152344
1787764939.1137931,37000,-45.05742645263672
1787764953.1837888,38000,-43.03654479980469
1787764967.124814,39000,-41.21683883666992
1787764981.2334945,40000,-40.28139877319336
1787764995.2920969,41000,-39.11347961425781
1787765009.2018118,42000,-37.64287185668945
1787765023.2375278,43000,-36.187225341796875
1787765037.2146163,44000,-35.106849670410156
1787765051.3163238,45000,-33.78718948364258
1787765065.260819,46000,-32.312744140625
1787765079.3164508,47000,-31.621273040771484
1787765096.0098832,48000,-30.965394973754883
1787765116.9866562,49000,-30.092660903930664
1787765138.0008216,50000,-30.49226951599121
1787765158.920889,51000,-30.577173233032227
1787765179.8466132,52000,-30.209218978881836
1787765200.7933517,53000,-30.078060150146484
1787765221.759549,54000,-29.890621185302734
1787765242.7833667,55000,-30.20167350769043
1787765263.4815934,56000,-30.07044219970703
1787765284.1415346,57000,-29.41010284423828
1787765304.9361625,58000,-28.956817626953125
1787765325.5684092,59000,-28.47136878967285
1787765346.3376167,60000,-27.711755752563477
1787765367.0880623,61000,-27.486080169677734
1787765387.727794,62000,-26.891786575317383
1787765408.3880017,63000,-26.843904495239258
1787765428.9938474,64000,-26.208938598632812
1787765449.6605325,65000,-26.096725463867188
1787765470.4904191,66000,-25.872407913208008
1787765491.1947248,67000,-25.656105041503906
1787765511.7204022,68000,-25.836729049682617
1787765532.3294933,69000,-25.369524002075195
1787765552.8973172,70000,-25.20758628845215
1787765573.57428,71000,-25.135459899902344
1787765594.1500518,72000,-24.888774871826172
1787765614.744743,73000,-24.342498779296875
1787765635.2901819,74000,-23.848119735717773
1787765655.838421,75000,-23.15804100036621
1787765676.3531024,76000,-22.436840057373047
1787765696.9956057,77000,-22.051002502441406
1787765717.648432,78000,-21.703113555908203
1787765738.2519033,79000,-21.49501609802246
1787765758.7597067,80000,-21.178585052490234
1787765779.2828934,81000,-20.692066192626953
1787765799.8210814,82000,-20.526294708251953
1787765820.3661356,83000,-20.07006072998047
1787765840.9236412,84000,-19.592649459838867
1787765861.4340734,85000,-19.235097885131836
1787765881.980151,86000,-19.11151885986328
1787765902.4987435,87000,-18.561742782592773
1787765923.0836012,88000,-18.440881729125977
1787765943.598162,89000,-18.377376556396484
1787765964.1913893,90000,-18.485342025756836
1787765984.7418303,91000,-18.279165267944336
1787766005.2496052,92000,-18.154653549194336
1787766025.8318043,93000,-18.076534271240234
1787766046.3750393,94000,-17.851177215576172
1787766067.020246,95000,-17.404876708984375
1787766087.5627742,96000,-17.314329147338867
1787766108.0655026,97000,-16.696685791015625
1787766128.6722443,98000,-16.493179321289062
1787766149.321585,99000,-16.19327735900879
1787766169.8193939,100000,-15.855256080627441
1787766190.3666277,101000,-15.328310012817383
1787766211.0008924,102000,-15.058576583862305
1787766231.5620697,103000,-14.306488037109375
1787766252.180083,104000,-13.668396949768066
1787766272.6982698,105000,-12.635624885559082
1787766293.2734334,106000,-12.194738388061523
