wall_time,step,value
1787787834.8771281,1000,93.52500915527344
1787787845.5451694,2000,99.60462188720703
1787787856.273291,3000,99.71781158447266
1787787866.9878736,4000,99.40435791015625
1787787877.6368606,5000,105.5919189453125
1787787888.3754156,6000,85.71730041503906
1787787899.1272054,7000,103.11769104003906
1787787909.8902998,8000,107.9757308959961
1787787920.6176283,9000,106.70844268798828
1787787931.2781188,10000,107.19354248046875
1787787945.7381122,11000,97.49604797363281
1787787960.0482852,12000,108.47000122070312
1787787974.4724588,13000,118.94542694091797
1787787988.807691,14000,111.79170227050781
1787788003.215032,15000,90.73326110839844
1787788017.63127,16000,88.80113983154297
1787788032.010752,17000,111.70207214355469
1787788046.273609,18000,108.01759338378906
1787788060.525784,19000,110.16645812988281
1787788074.7413602,20000,131.87387084960938
1787788088.9720395,21000,129.22518920898438
1787788103.1593,22000,184.31845092773438
1787788117.3658054,23000,164.3095245361328
1787788131.6627412,24000,145.49586486816406
1787788145.8729312,25000,221.25
1787788160.0018485,26000,193.11424255371094
1787788174.2148864,27000,273.875732421875
1787788188.312046,28000,494.5211181640625
1787788202.2375205,29000,499.0
1787788216.3272214,30000,499.0
1787788230.3107793,31000,499.0
1787788244.4037678,32000,499.0
1787788258.4339976,33000,499.0
1787788272.4082508,34000,499.0
1787788286.410734,35000,499.0
1787788300.4693882,36000,499.0
1787788314.5458326,37000,499.0
1787788328.5011375,38000,499.0
1787788342.56093,39000,499.0
1787788356.540809,40000,499.0
1787788370.634232,41000,499.0
1787788384.5992815,42000,499.0
1787788398.5734746,43000,499.0
1787788412.6190302,44000,499.0
1787788426.5425863,45000,499.0
1787788440.492366,46000,499.0
1787788454.5243044,47000,499.0
1787788468.474445,48000,499.0
1787788482.5197427,49000,499.0
1787788496.484324,50000,499.0
1787788510.491598,51000,499.0
1787788524.4364038,52000,499.0
1787788538.4768329,53000,499.0
1787788552.55114,54000,499.0
1787788566.6185133,55000,499.0
1787788580.5852199,56000,499.0
1787788594.6530557,57000,499.0
1787788608.6473045,58000,499.0
1787788622.6959798,59000,499.0
1787788636.690626,60000,499.0
1787788650.5862513,61000,499.0
1787788664.653384,62000,499.0
1787788678.8172624,63000,499.0
1787788692.8882062,64000,499.0
1787788706.9802306,65000,499.0
1787788720.9521832,66000,499.0
1787788734.9629066,67000,499.0
1787788749.0305283,68000,499.0
1787788763.1367173,69000,499.0
1787788777.271035,70000,499.0
1787788791.3188598,71000,499.0
1787788805.3120515,72000,499.0
1787788819.4047148,73000,499.0
1787788833.4819775,74000,499.0
1787788847.502012,75000,499.0
1787788861.5746052,76000,499.0
1787788875.5451434,77000,499.0
1787788889.4888978,78000,499.0
1787788903.598493,79000,499.0
1787788917.6574292,80000,499.0
1787788931.6501408,81000,499.0
1787788945.6769707,82000,499.0
1787788959.7711532,83000,499.0
1787788973.7744257,84000,499.0
1787788987.9124274,85000,499.0
1787789001.9621263,86000,499.0
1787789016.0326371,87000,499.0
1787789030.0388951,88000,499.0
1787789044.0860054,89000,499.0
1787789058.1546538,90000,499.0
1787789072.1413693,91000,499.0
1787789086.2370574,92000,499.0
1787789100.3066735,93000,499.0
1787789114.3256643,94000,499.0
