wall_time,step,value
1787787834.8774235,1000,-6.837686061859131
1787787845.5470166,2000,-6.441334247589111
1787787856.2736804,3000,-7.0702691078186035
1787787866.988164,4000,-6.831421375274658
1787787877.6371214,5000,-7.078970432281494
1787787888.3757086,6000,-6.546863555908203
1787787899.12747,7000,-6.628210067749023
1787787909.8906546,8000,-6.834949016571045
1787787920.6179328,9000,-7.202625751495361
1787787931.2783866,10000,-7.613970756530762
1787787945.7382941,11000,-5.9785380363464355
1787787960.0484786,12000,-7.220273971557617
1787787974.4726357,13000,-6.991251468658447
1787787988.8078792,14000,-6.661708831787109
1787788003.2152205,15000,-5.78033971786499
1787788017.6314769,16000,-5.834619045257568
1787788032.0109363,17000,-6.052340030670166
1787788046.2737973,18000,-5.794248104095459
1787788060.5259902,19000,-6.123712062835693
1787788074.7416215,20000,-6.788866996765137
1787788088.972218,21000,-7.293262004852295
1787788103.1594872,22000,-10.206058502197266
1787788117.3660064,23000,-8.03965950012207
1787788131.6629353,24000,-7.420703411102295
1787788145.873118,25000,-9.78256607055664
1787788160.0021372,26000,-11.146859169006348
1787788174.2150626,27000,-13.174230575561523
1787788188.3122232,28000,-18.548173904418945
1787788202.2377052,29000,-22.262662887573242
1787788216.327417,30000,-24.68236541748047
1787788230.3109627,31000,-23.607685089111328
1787788244.4039528,32000,-25.519229888916016
1787788258.4341888,33000,-24.868881225585938
1787788272.4084334,34000,-26.4111385345459
1787788286.4109182,35000,-22.49567985534668
1787788300.4695766,36000,-24.90998077392578
1787788314.5460215,37000,-25.86697006225586
1787788328.5013247,38000,-26.221195220947266
1787788342.5611129,39000,-26.976882934570312
1787788356.5409868,40000,-27.38257598876953
1787788370.6345716,41000,-28.88922882080078
1787788384.599467,42000,-30.782695770263672
1787788398.573653,43000,-29.32474708557129
1787788412.6192186,44000,-29.128633499145508
1787788426.5427597,45000,-27.80005645751953
1787788440.4925532,46000,-27.6922607421875
1787788454.5244849,47000,-28.737396240234375
1787788468.4746373,48000,-26.82392120361328
1787788482.5199275,49000,-26.528635025024414
1787788496.4845243,50000,-27.778610229492188
1787788510.4917738,51000,-26.751192092895508
1787788524.4365883,52000,-26.251062393188477
1787788538.4770098,53000,-24.51549530029297
1787788552.5513246,54000,-25.88835334777832
1787788566.6186874,55000,-26.257366180419922
1787788580.585396,56000,-25.503263473510742
