wall_time,step,value
1787787834.8773417,1000,-111.87329864501953
1787787845.5454206,2000,-122.2413330078125
1787787856.2735777,3000,-104.76605224609375
1787787866.9880702,4000,-108.6094741821289
1787787877.6370382,5000,-116.90739440917969
1787787888.3756156,6000,-123.77782440185547
1787787899.1273868,7000,-133.90213012695312
1787787909.890503,8000,-121.92864990234375
1787787920.6178348,9000,-96.01541137695312
1787787931.2783184,10000,-137.75570678710938
1787787945.7382157,11000,-125.44437408447266
1787787960.0483963,12000,-165.8748779296875
1787787974.4725606,13000,-177.4114532470703
1787787988.8078005,14000,-141.69384765625
1787788003.2151418,15000,-104.78819274902344
1787788017.6313913,16000,-124.89569854736328
1787788032.0108583,17000,-129.34939575195312
1787788046.273718,18000,-124.09416961669922
1787788060.5258944,19000,-164.93431091308594
1787788074.7415173,20000,-147.5674285888672
1787788088.9721417,21000,-168.733642578125
1787788103.1594064,22000,-261.57037353515625
1787788117.3659246,23000,-218.7621307373047
1787788131.6628513,24000,-223.9744415283203
1787788145.87304,25000,-349.3064270019531
1787788160.002037,26000,-381.2389831542969
1787788174.214987,27000,-358.7905578613281
1787788188.3121471,28000,-551.4705200195312
1787788202.2376285,29000,-679.1097412109375
1787788216.327336,30000,-799.947265625
1787788230.3108873,31000,-587.6437377929688
1787788244.4038754,32000,-979.22998046875
1787788258.4341025,33000,-305.2242126464844
1787788272.4083564,34000,-484.3963928222656
1787788286.410839,35000,-543.8853149414062
1787788300.4694984,36000,-456.59698486328125
1787788314.5459418,37000,-574.2081909179688
1787788328.5012465,38000,-515.3846435546875
1787788342.561035,39000,-430.3697204589844
1787788356.5409098,40000,-639.5474243164062
1787788370.6344306,41000,-582.3095703125
1787788384.5993881,42000,-535.2933349609375
1787788398.5735776,43000,-375.05963134765625
1787788412.6191375,44000,-542.4310913085938
1787788426.5427,45000,-623.810302734375
1787788440.4924772,46000,-294.15277099609375
1787788454.5244057,47000,-404.4413757324219
1787788468.474552,48000,-487.2957763671875
1787788482.5198507,49000,-109.86253356933594
1787788496.484437,50000,-442.1043395996094
1787788510.4916983,51000,-252.88165283203125
1787788524.4365132,52000,-283.276123046875
1787788538.4769344,53000,-169.74110412597656
1787788552.5512452,54000,-352.5486755371094
1787788566.618612,55000,-220.20938110351562
1787788580.5853214,56000,-217.21685791015625
1787788594.6531556,57000,-168.5614013671875
1787788608.6474142,58000,-223.9608154296875
1787788622.6960812,59000,-247.53521728515625
1787788636.6907306,60000,-172.90045166015625
1787788650.5863695,61000,-232.87908935546875
1787788664.653588,62000,-255.7122802734375
1787788678.817363,63000,-219.88339233398438
1787788692.8882823,64000,-215.51109313964844
1787788706.9802988,65000,-178.1818389892578
1787788720.9522943,66000,-215.74124145507812
1787788734.9630082,67000,-322.04486083984375
1787788749.030612,68000,-179.6190643310547
1787788763.1368387,69000,-188.5729217529297
1787788777.2711377,70000,-204.1366424560547
1787788791.31897,71000,-175.84805297851562
1787788805.3121598,72000,-155.69879150390625
1787788819.4048226,73000,-172.12664794921875
1787788833.4820838,74000,-147.19863891601562
1787788847.502115,75000,-211.6754608154297
1787788861.5747137,76000,-114.38485717773438
1787788875.545252,77000,-226.77871704101562
1787788889.4889996,78000,-150.26773071289062
1787788903.5986106,79000,-148.25064086914062
1787788917.657541,80000,-178.75778198242188
1787788931.650242,81000,-101.84545135498047
1787788945.6770735,82000,-145.33470153808594
1787788959.7712522,83000,-198.9453582763672
1787788973.7745397,84000,-81.09957885742188
1787788987.9125314,85000,-152.22642517089844
