wall_time,step,value
1787787834.8775673,1000,-324.2825927734375
1787787845.5471451,2000,-325.10418701171875
1787787856.2738109,3000,-320.4765319824219
1787787866.9882948,4000,-327.22113037109375
1787787877.637249,5000,-332.7769775390625
1787787888.3758492,6000,-320.8482971191406
1787787899.1275995,7000,-328.12933349609375
1787787909.890799,8000,-324.9079284667969
1787787920.618083,9000,-322.5904541015625
1787787931.278631,10000,-338.4887390136719
1787787945.7384217,11000,-329.68865966796875
1787787960.048614,12000,-343.2229919433594
1787787974.4727616,13000,-341.84320068359375
1787787988.8080082,14000,-325.4996032714844
1787788003.215355,15000,-301.32257080078125
1787788017.6316137,16000,-310.45562744140625
1787788032.0110652,17000,-318.55218505859375
1787788046.2739367,18000,-311.5446472167969
1787788060.5261064,19000,-329.3404541015625
1787788074.7417557,20000,-322.28961181640625
1787788088.972345,21000,-326.5805358886719
1787788103.1596148,22000,-384.3642883300781
1787788117.3661559,23000,-347.37225341796875
1787788131.66307,24000,-356.8359069824219
1787788145.8732545,25000,-437.392578125
1787788160.0022755,26000,-467.3450012207031
1787788174.21519,27000,-467.57958984375
1787788188.3123507,28000,-486.727783203125
1787788202.2378337,29000,-482.15667724609375
1787788216.327561,30000,-595.2345581054688
1787788230.3110874,31000,-487.11474609375
1787788244.4040842,32000,-699.3258666992188
1787788258.4343164,33000,-124.04794311523438
1787788272.4085665,34000,-357.2596435546875
1787788286.4110563,35000,-338.87567138671875
1787788300.4697063,36000,-311.4613342285156
1787788314.5461514,37000,-418.5350341796875
1787788328.5014536,38000,-418.93206787109375
1787788342.5612411,39000,-214.57200622558594
1787788356.541116,40000,-423.0220642089844
1787788370.6347172,41000,-395.32537841796875
1787788384.5996017,42000,-347.942138671875
1787788398.5737789,43000,-119.02140045166016
1787788412.6193483,44000,-300.84405517578125
1787788426.542889,45000,-427.281005859375
1787788440.492679,46000,-25.72869110107422
1787788454.5246115,47000,-106.31974792480469
1787788468.474763,48000,-251.22720336914062
1787788482.5200539,49000,236.56027221679688
1787788496.4846566,50000,-162.79278564453125
1787788510.4919016,51000,89.79026794433594
1787788524.436714,52000,29.38054084777832
1787788538.477136,53000,244.86126708984375
1787788552.5515745,54000,-5.790504455566406
1787788566.618815,55000,197.65066528320312
1787788580.5855181,56000,218.9840087890625
1787788594.653359,57000,272.17120361328125
1787788608.6476126,58000,229.03567504882812
1787788622.6963005,59000,150.38751220703125
1787788636.6909354,60000,271.74322509765625
1787788650.5865662,61000,203.99620056152344
1787788664.6538324,62000,190.576904296875
1787788678.81757,63000,215.84095764160156
1787788692.8884943,64000,228.58328247070312
1787788706.9805095,65000,295.16436767578125
1787788720.9525242,66000,249.12115478515625
1787788734.9632118,67000,29.245800018310547
1787788749.0308123,68000,316.1567077636719
1787788763.1370707,69000,272.5391540527344
1787788777.2713623,70000,258.52691650390625
1787788791.3191774,71000,305.769775390625
1787788805.312367,72000,318.6233215332031
1787788819.4050295,73000,323.7014465332031
1787788833.4822924,74000,340.0203857421875
1787788847.5023184,75000,231.54229736328125
1787788861.5749247,76000,371.4691162109375
