wall_time,step,value
1787787834.8773873,1000,-110.44060516357422
1787787845.5469596,2000,-103.95051574707031
1787787856.2736385,3000,-97.42259216308594
1787787866.988108,4000,-104.97721862792969
1787787877.6370685,5000,-106.71358489990234
1787787888.3756506,6000,-107.7364273071289
1787787899.1274178,7000,-113.71144104003906
1787787909.8905826,8000,-106.53411102294922
1787787920.6178718,9000,-95.0630874633789
1787787931.2783282,10000,-114.03734588623047
1787787945.7382414,11000,-110.04240417480469
1787787960.0484228,12000,-114.21238708496094
1787787974.472586,13000,-122.70240783691406
1787787988.807827,14000,-115.43360900878906
1787788003.2151685,15000,-102.73401641845703
1787788017.6314197,16000,-109.09513854980469
1787788032.0108845,17000,-108.89265441894531
1787788046.2737448,18000,-114.20989227294922
1787788060.5259218,19000,-114.49771881103516
1787788074.7415648,20000,-117.65895080566406
1787788088.972168,21000,-114.27708435058594
1787788103.1594315,22000,-137.74740600585938
1787788117.3659523,23000,-130.1048126220703
1787788131.6628788,24000,-138.1190643310547
1787788145.8730662,25000,-164.6020050048828
1787788160.0020773,26000,-177.13449096679688
1787788174.2150123,27000,-189.5209503173828
1787788188.3121734,28000,-232.06753540039062
1787788202.237654,29000,-198.76446533203125
1787788216.3273642,30000,-294.21234130859375
1787788230.3109128,31000,-200.13059997558594
1787788244.403902,32000,-349.93212890625
1787788258.4341285,33000,-107.03949737548828
1787788272.4083827,34000,-160.12054443359375
1787788286.4108665,35000,-191.3441925048828
1787788300.4695246,36000,-154.09698486328125
1787788314.5459685,37000,-193.61312866210938
1787788328.5012732,38000,-209.3983612060547
1787788342.5610614,39000,-95.83611297607422
1787788356.540939,40000,-97.81877136230469
1787788370.6344872,41000,-138.19403076171875
1787788384.5994153,42000,-121.67308044433594
1787788398.5736032,43000,-61.54938507080078
1787788412.619169,44000,-91.12351989746094
1787788426.5427096,45000,-153.5474853515625
1787788440.4925034,46000,-62.547462463378906
1787788454.5244317,47000,-74.17322540283203
1787788468.4745772,48000,-120.99530029296875
1787788482.5198774,49000,-33.82611083984375
1787788496.4844663,50000,-91.59402465820312
1787788510.491724,51000,-64.0979232788086
1787788524.4365385,52000,-101.13555908203125
1787788538.4769597,53000,-26.96494483947754
1787788552.5512712,54000,-89.53156280517578
1787788566.6186373,55000,-42.27247619628906
1787788580.5853465,56000,-33.02192306518555
1787788594.6531816,57000,-45.94933319091797
1787788608.6474392,58000,-35.955909729003906
1787788622.696107,59000,-94.17411804199219
1787788636.6907563,60000,-57.28258514404297
1787788650.5863965,61000,-70.9981689453125
1787788664.6536427,62000,-51.25494384765625
1787788678.8173883,63000,-56.71104431152344
1787788692.8883224,64000,-74.29515075683594
1787788706.980324,65000,-53.54125213623047
1787788720.9523222,66000,-60.048439025878906
1787788734.963034,67000,-103.9970703125
1787788749.0306365,68000,-42.99174499511719
1787788763.136908,69000,-69.68223571777344
1787788777.2711647,70000,-71.56783294677734
1787788791.3189967,71000,-54.82638168334961
1787788805.3121867,72000,-65.14906311035156
1787788819.404849,73000,-40.550052642822266
1787788833.4821103,74000,-51.1005973815918
1787788847.5021408,75000,-85.72727966308594
1787788861.5747395,76000,-51.27727127075195
1787788875.5452785,77000,-82.94889068603516
1787788889.4890254,78000,-51.908935546875
1787788903.5986378,79000,-41.42066192626953
1787788917.65757,80000,-61.73855972290039
1787788931.6502676,81000,-34.90359878540039
1787788945.6771042,82000,-42.74358367919922
1787788959.7712777,83000,-68.9044418334961
1787788973.7745678,84000,-30.537466049194336
1787788987.9125566,85000,-48.99284744262695
1787789001.9622495,86000,-40.34218215942383
1787789016.0327644,87000,-40.5169792175293
1787789030.039026,88000,-44.54261779785156
1787789044.086132,89000,-57.18248748779297
1787789058.1548345,90000,-53.94291687011719
1787789072.1415107,91000,-42.64677429199219
1787789086.237181,92000,-70.0440444946289
1787789100.3068254,93000,-79.2339859008789
1787789114.32579,94000,-36.0004768371582
1787789128.4204094,95000,-48.839935302734375
1787789142.559375,96000,-51.027549743652344
1787789156.6033351,97000,-25.353252410888672
1787789170.631127,98000,-41.94464111328125
1787789184.6057105,99000,-67.50407409667969
1787789198.6516232,100000,-41.94939422607422
1787789212.7597573,101000,-23.839218139648438
1787789226.8768504,102000,-47.076202392578125
1787789241.0093327,103000,-55.06712341308594
1787789255.0563943,104000,-77.40843200683594
1787789269.1557643,105000,-45.86128234863281
1787789283.1385267,106000,-25.178428649902344
1787789297.2697663,107000,-61.571617126464844
1787789311.4317195,108000,-30.58854866027832
1787789325.5092564,109000,-34.80834197998047
1787789339.6457527,110000,-73.9189682006836
1787789353.769701,111000,-52.17083740234375
1787789367.962345,112000,-42.88971710205078
1787789382.0272577,113000,-50.74930953979492
1787789396.1398246,114000,-101.29261779785156
1787789410.2827523,115000,-32.34332275390625
1787789424.358193,116000,-67.91353607177734
1787789438.4526901,117000,-61.09099578857422
1787789452.525772,118000,-68.46823120117188
1787789466.510353,119000,-57.909088134765625
1787789480.7024415,120000,-17.76637077331543
1787789494.6973472,121000,-23.68052864074707
1787789508.7965875,122000,-42.314430236816406
1787789522.9187415,123000,-37.74704360961914
1787789536.9562373,124000,-60.836647033691406
1787789551.034637,125000,-23.47878074645996
1787789565.1987438,126000,-62.84406280517578
1787789579.3026733,127000,-54.57048416137695
1787789593.3777175,128000,-59.5916748046875
1787789607.4746644,129000,-65.62258911132812
