wall_time,step,value
1787787834.8770247,1000,-323.3861083984375
1787787845.5450504,2000,-330.49981689453125
1787787856.2731287,3000,-325.7433166503906
1787787866.9877656,4000,-325.2497863769531
1787787877.6367586,5000,-339.6894226074219
1787787888.3753061,6000,-313.8560485839844
1787787899.1271005,7000,-335.7670593261719
1787787909.8901982,8000,-333.0578308105469
1787787920.6175199,9000,-327.97955322265625
1787787931.278017,10000,-331.4849853515625
1787787945.7379522,11000,-327.2555236816406
1787787960.0481083,12000,-340.49737548828125
1787787974.4723,13000,-338.373046875
1787787988.8075092,14000,-323.57977294921875
1787788003.2148473,15000,-308.2528991699219
1787788017.6310914,16000,-305.38128662109375
1787788032.010575,17000,-329.8260192871094
1787788046.273431,18000,-315.4026794433594
1787788060.525612,19000,-327.3663330078125
1787788074.741076,20000,-317.7078857421875
1787788088.9718869,21000,-308.6683349609375
1787788103.1591337,22000,-385.1681213378906
1787788117.3655903,23000,-363.29168701171875
1787788131.6625552,24000,-364.0216064453125
1787788145.8727605,25000,-449.2828674316406
1787788160.0016887,26000,-417.39080810546875
1787788174.2147343,27000,-499.5030822753906
1787788188.31191,28000,-531.3372802734375
1787788202.2373605,29000,-321.3448181152344
1787788216.3270822,30000,-517.3549194335938
1787788230.3106575,31000,-454.3613586425781
1787788244.4036245,32000,-681.6826171875
1787788258.4338608,33000,-136.35231018066406
1787788272.4081101,34000,-406.44451904296875
1787788286.4105926,35000,-42.31599044799805
1787788300.4692667,36000,-158.21836853027344
1787788314.5456903,37000,-572.4304809570312
1787788328.5010011,38000,-497.2474060058594
1787788342.560787,39000,-293.6534118652344
1787788356.5406787,40000,-344.6424560546875
1787788370.6340976,41000,-411.0221252441406
1787788384.599125,42000,-262.6593017578125
1787788398.5733442,43000,-213.0323028564453
1787788412.618881,44000,-534.7387084960938
1787788426.5424783,45000,-568.01708984375
1787788440.4922411,46000,7.616029262542725
1787788454.524177,47000,-292.6680908203125
1787788468.4743197,48000,-349.0108642578125
1787788482.5195994,49000,234.8256378173828
1787788496.4841866,50000,119.33557891845703
1787788510.4914498,51000,236.93505859375
1787788524.4362667,52000,66.39203643798828
1787788538.4766932,53000,228.318359375
1787788552.5510042,54000,-109.58759307861328
1787788566.6183841,55000,195.911865234375
1787788580.5850868,56000,288.4843444824219
1787788594.6529272,57000,226.2620391845703
1787788608.6471744,58000,176.82911682128906
1787788622.6958377,59000,281.05157470703125
1787788636.6904933,60000,262.768798828125
1787788650.5861166,61000,245.84210205078125
1787788664.653238,62000,331.7273864746094
1787788678.817136,63000,243.1529998779297
1787788692.888052,64000,212.86395263671875
1787788706.9800751,65000,310.2463073730469
1787788720.9520426,66000,299.8248291015625
1787788734.9627776,67000,26.74933433532715
1787788749.0303824,68000,323.2278137207031
1787788763.1364894,69000,304.7872619628906
1787788777.270923,70000,293.21405029296875
1787788791.318715,71000,274.10638427734375
1787788805.3119087,72000,330.855712890625
1787788819.4045641,73000,317.24053955078125
1787788833.4818337,74000,295.34136962890625
1787788847.5018778,75000,300.98992919921875
1787788861.5744667,76000,421.13555908203125
1787788875.5449939,77000,346.7845458984375
1787788889.4887698,78000,305.0208435058594
