wall_time,step,value
1787787834.8769898,1000,-357.226318359375
1787787845.5449998,2000,-357.8988037109375
1787787856.273066,3000,-350.642822265625
1787787866.9877183,4000,-371.483154296875
1787787877.6367176,5000,-350.7787170410156
1787787888.3752637,6000,-348.8289794921875
1787787899.1270552,7000,-353.1060485839844
1787787909.8901536,8000,-369.03271484375
1787787920.6174715,9000,-351.8247985839844
1787787931.277982,10000,-378.2969970703125
1787787945.7378457,11000,-376.51171875
1787787960.0479915,12000,-369.81085205078125
1787787974.472197,13000,-419.96636962890625
1787787988.807395,14000,-384.24810791015625
1787788003.2147279,15000,-340.029541015625
1787788017.63098,16000,-337.08203125
1787788032.0104532,17000,-377.9695739746094
1787788046.2733197,18000,-350.5286560058594
1787788060.5255053,19000,-374.4807434082031
1787788074.7409413,20000,-384.7479553222656
1787788088.9717853,21000,-425.1893310546875
1787788103.1590242,22000,-447.1509704589844
1787788117.3654456,23000,-395.6086730957031
1787788131.6624389,24000,-416.7204895019531
1787788145.8726516,25000,-651.7665405273438
1787788160.0016243,26000,-589.7090454101562
1787788174.214629,27000,-610.4842529296875
1787788188.3118138,28000,-539.448974609375
1787788202.2372675,29000,-653.2811279296875
1787788216.3270042,30000,-678.420654296875
1787788230.310569,31000,-522.2310791015625
1787788244.403522,32000,-718.3126831054688
1787788258.4337597,33000,-137.33863830566406
1787788272.408014,34000,-410.5843200683594
1787788286.410492,35000,-661.5848999023438
1787788300.4691818,36000,-478.8309020996094
1787788314.5455887,37000,-587.2340698242188
1787788328.5009067,38000,-505.0946350097656
1787788342.5606894,39000,-301.89434814453125
1787788356.5405827,40000,-509.8836364746094
1787788370.634006,41000,-412.78369140625
1787788384.5990372,42000,-443.13763427734375
1787788398.5732489,43000,-224.3362274169922
1787788412.6187887,44000,-563.7997436523438
1787788426.5423708,45000,-586.0674438476562
1787788440.492152,46000,-63.483734130859375
1787788454.5240774,47000,-318.062255859375
1787788468.474229,48000,-362.72802734375
1787788482.5195003,49000,234.57534790039062
1787788496.4841056,50000,-486.75982666015625
1787788510.4913588,51000,-79.76535034179688
1787788524.4361525,52000,-13.416316986083984
1787788538.4765928,53000,225.6661834716797
1787788552.5508242,54000,-126.6444320678711
1787788566.6182904,55000,195.61915588378906
1787788580.584987,56000,137.5056915283203
1787788594.6528347,57000,218.16583251953125
1787788608.647072,58000,167.41310119628906
1787788622.6957414,59000,-4.366902828216553
1787788636.6904073,60000,261.0782165527344
1787788650.5860188,61000,154.0997772216797
1787788664.6531339,62000,21.70548439025879
1787788678.8170378,63000,183.05555725097656
1787788692.8879347,64000,209.65078735351562
1787788706.9799712,65000,276.93914794921875
1787788720.9519405,66000,187.6467742919922
1787788734.9626837,67000,26.209016799926758
1787788749.0302935,68000,307.5268249511719
1787788763.1363811,69000,233.05299377441406
1787788777.2708316,70000,215.91531372070312
1787788791.3186176,71000,266.7457580566406
1787788805.3118134,72000,303.498291015625
1787788819.4044576,73000,315.6867980957031
1787788833.4817235,74000,284.4178466796875
1787788847.5017805,75000,144.83717346191406
1787788861.574366,76000,309.26165771484375
1787788875.5448956,77000,65.59646606445312
1787788889.4886768,78000,297.50555419921875
1787788903.5982294,79000,327.93609619140625
1787788917.657207,80000,200.18222045898438
1787788931.6499135,81000,398.790283203125
1787788945.676745,82000,296.0622863769531
1787788959.7709265,83000,249.68170166015625
1787788973.7741687,84000,407.1320495605469
1787788987.9121997,85000,279.8489074707031
1787789001.961905,86000,379.8917236328125
1787789016.0324109,87000,365.197021484375
1787789030.038669,88000,336.71075439453125
1787789044.0857735,89000,291.60345458984375
1787789058.1543565,90000,282.8608703613281
1787789072.141118,91000,384.4024353027344
1787789086.2368395,92000,192.19244384765625
1787789100.306415,93000,187.11782836914062
1787789114.325428,94000,408.2666015625
1787789128.4200528,95000,374.1041564941406
1787789142.5590189,96000,337.24700927734375
1787789156.6029332,97000,451.0137023925781
1787789170.630725,98000,398.11529541015625
1787789184.6053476,99000,197.48098754882812
1787789198.6512036,100000,337.9648132324219
1787789212.7594066,101000,472.6361083984375
1787789226.8764913,102000,362.7912292480469
1787789241.0089912,103000,362.88427734375
1787789255.0560298,104000,215.0033721923828
1787789269.1554108,105000,418.6024475097656
1787789283.138137,106000,440.5892333984375
1787789297.2694123,107000,302.39532470703125
1787789311.4312809,108000,439.6878662109375
1787789325.508911,109000,406.8343811035156
1787789339.6453705,110000,270.1572570800781
1787789353.7692447,111000,342.0668029785156
1787789367.9620059,112000,410.3367919921875
1787789382.026904,113000,358.8350830078125
1787789396.1394663,114000,244.4076690673828
1787789410.2824082,115000,460.3869323730469
1787789424.3578389,116000,303.9541931152344
1787789438.4523377,117000,313.50592041015625
1787789452.525415,118000,278.3802490234375
1787789466.5099916,119000,320.2230224609375
1787789480.702059,120000,501.11627197265625
1787789494.696974,121000,450.3760681152344
1787789508.7962132,122000,390.2431945800781
1787789522.9182172,123000,353.173828125
1787789536.9558845,124000,278.0527648925781
1787789551.0341606,125000,435.640869140625
1787789565.1982641,126000,269.8281555175781
1787789579.3023157,127000,343.6297302246094
1787789593.377348,128000,354.2492980957031
1787789607.4743009,129000,306.7501525878906
1787789621.599578,130000,365.8288879394531
1787789635.5678728,131000,460.6996765136719
1787789649.6585639,132000,383.5484313964844
1787789663.7104,133000,408.23638916015625
1787789677.7639494,134000,140.68991088867188
1787789691.8963368,135000,343.668212890625
1787789705.9126968,136000,476.6861877441406
1787789719.948217,137000,296.2010803222656
1787789734.0160296,138000,359.3851318359375
1787789747.9693358,139000,399.0246887207031
1787789762.059992,140000,483.63385009765625
1787789776.0320172,141000,302.47509765625
1787789790.0976274,142000,441.2983093261719
1787789804.2143593,143000,441.3860168457031
1787789818.2468023,144000,360.374267578125
1787789832.2685673,145000,421.837890625
1787789846.3660984,146000,536.79248046875
1787789860.4199848,147000,540.4915161132812
1787789874.3414361,148000,457.32440185546875
1787789888.3611524,149000,465.6496887207031
1787789902.3877716,150000,327.5357666015625
1787789916.4284208,151000,447.63336181640625
1787789930.5651202,152000,250.93699645996094
1787789944.585901,153000,355.5722351074219
1787789958.6670668,154000,425.884521484375
1787789972.7207327,155000,415.1147766113281
1787789986.6763937,156000,425.7016906738281
1787790000.7199786,157000,444.080322265625
1787790014.5941296,158000,449.7682189941406
1787790028.6992087,159000,489.3418884277344
1787790042.7643824,160000,443.4011535644531
1787790056.8679404,161000,325.0229187011719
1787790070.9094152,162000,349.6796569824219
1787790085.0684233,163000,467.5914306640625
1787790099.1455226,164000,451.4070129394531
1787790113.2354712,165000,316.0257873535156
1787790127.2240388,166000,138.87449645996094
1787790141.253633,167000,439.5273742675781
1787790155.195389,168000,310.1259765625
1787790169.1675694,169000,380.6593017578125
1787790183.0545375,170000,89.01527404785156
1787790197.1487167,171000,425.4500427246094
1787790211.2276425,172000,400.25341796875
1787790225.3272963,173000,437.623779296875
1787790239.3275864,174000,426.0674743652344
1787790253.4911466,175000,470.9643859863281
1787790267.655457,176000,324.5608825683594
1787790281.7304647,177000,370.9429016113281
1787790295.8402846,178000,298.4195251464844
1787790309.9503403,179000,455.662841796875
1787790324.1222959,180000,446.2197265625
1787790338.1916382,181000,481.1195068359375
1787790352.3131065,182000,363.6448974609375
1787790366.3525112,183000,418.0813293457031
1787790380.4438457,184000,376.0884094238281
1787790394.43957,185000,449.57647705078125
1787790408.4581873,186000,459.1822204589844
1787790422.5089066,187000,451.627685546875
1787790436.5759296,188000,343.87823486328125
1787790450.6083934,189000,360.7934875488281
1787790464.6249459,190000,367.23394775390625
1787790478.6603308,191000,483.2053527832031
1787790492.6254642,192000,311.24456787109375
1787790506.692875,193000,418.5477294921875
1787790520.752907,194000,434.6952819824219
1787790534.892521,195000,122.80230712890625
1787790548.9163816,196000,478.4539794921875
1787790562.9759848,197000,480.2088623046875
1787790577.072588,198000,263.1097106933594
1787790591.133636,199000,543.387451171875
1787790605.2918642,200000,418.9069519042969
1787790619.3588579,201000,489.1728820800781
1787790633.4776764,202000,368.1979675292969
1787790647.4938736,203000,210.14454650878906
1787790661.5538437,204000,415.3708190917969
1787790675.5948007,205000,375.1676330566406
1787790689.584442,206000,474.6740417480469
1787790703.606493,207000,172.88438415527344
1787790717.63556,208000,454.29168701171875
1787790731.6258283,209000,477.1339416503906
1787790745.6014047,210000,475.62542724609375
1787790759.6861799,211000,446.0348815917969
1787790773.7494123,212000,404.60760498046875
1787790787.825069,213000,483.0124816894531
1787790801.7712643,214000,444.8930358886719
1787790815.8532588,215000,334.8655700683594
1787790829.9819055,216000,337.3553466796875
1787790843.9923983,217000,387.045166015625
1787790858.0521882,218000,427.65997314453125
1787790872.1914787,219000,412.02716064453125
1787790886.3299098,220000,368.59954833984375
1787790900.4029446,221000,332.43408203125
1787790914.4513776,222000,431.8941345214844
1787790928.4151595,223000,367.9565124511719
1787790942.4969316,224000,480.4584045410156
1787790956.54656,225000,479.1788024902344
1787790970.6385713,226000,323.1392822265625
1787790984.6221416,227000,464.4769592285156
1787790998.7212179,228000,296.59039306640625
1787791012.8090954,229000,419.3221130371094
1787791026.936043,230000,507.9538879394531
1787791041.02706,231000,438.0266418457031
1787791055.1723523,232000,492.34942626953125
1787791069.250451,233000,468.1328125
1787791083.415193,234000,241.33055114746094
1787791097.5897503,235000,550.6185302734375
1787791111.6136146,236000,392.8369140625
1787791125.646395,237000,463.7583312988281
1787791139.818337,238000,435.720947265625
1787791153.7708724,239000,317.79522705078125
1787791167.774343,240000,410.5933837890625
1787791181.8469222,241000,408.2574768066406
1787791195.8307066,242000,460.56689453125
1787791209.7997067,243000,293.9930725097656
1787791223.9464674,244000,361.1541748046875
1787791237.9885592,245000,377.7554626464844
1787791251.9808044,246000,332.8539123535156
1787791265.9363625,247000,475.71636962890625
1787791279.9617689,248000,448.3536376953125
1787791294.0083377,249000,386.5515441894531
1787791308.1026084,250000,229.19454956054688
1787791322.2512965,251000,411.5939025878906
1787791336.3574386,252000,407.1412353515625
1787791350.374537,253000,419.531982421875
1787791364.4344983,254000,383.1573486328125
1787791378.5281374,255000,414.1078186035156
1787791392.6078632,256000,424.3320617675781
1787791406.749831,257000,406.4202880859375
1787791420.8344278,258000,337.6427917480469
1787791434.8071954,259000,330.6781005859375
1787791448.9091694,260000,369.8218994140625
1787791463.024102,261000,433.3047180175781
1787791477.1320245,262000,416.4630126953125
1787791491.2460687,263000,436.0636291503906
1787791505.2566514,264000,405.3303527832031
1787791519.2333968,265000,490.3059387207031
1787791533.2308643,266000,266.388916015625
1787791547.1789339,267000,243.2630615234375
1787791561.22118,268000,488.8860778808594
1787791575.2863424,269000,499.26446533203125
1787791589.3748124,270000,221.70538330078125
1787791603.3944745,271000,545.5728759765625
1787791617.5772898,272000,456.9028625488281
1787791631.7190173,273000,302.79742431640625
1787791645.816644,274000,450.87896728515625
1787791659.9111478,275000,298.7897033691406
1787791674.050263,276000,503.9119873046875
1787791688.080961,277000,447.24029541015625
1787791701.990617,278000,193.98638916015625
1787791715.9962397,279000,400.7020263671875
1787791730.0443566,280000,343.0925598144531
1787791744.1441557,281000,460.4608154296875
1787791758.144357,282000,371.4030456542969
1787791772.2152,283000,450.8936462402344
1787791786.2313006,284000,358.6547546386719
1787791800.2406113,285000,429.70965576171875
1787791814.2819312,286000,331.7461853027344
1787791828.3313794,287000,411.10833740234375
1787791842.314385,288000,349.2620849609375
1787791856.4334104,289000,396.0616455078125
1787791870.5165584,290000,408.7486267089844
1787791884.5053291,291000,229.5281982421875
1787791898.5611856,292000,299.31640625
1787791912.5364976,293000,399.8651428222656
1787791926.478412,294000,396.8287048339844
1787791940.465361,295000,375.98077392578125
1787791954.6135476,296000,248.20018005371094
1787791968.7203746,297000,425.6628112792969
1787791982.6583936,298000,460.9715881347656
1787791996.7246172,299000,353.4681396484375
1787792010.9423242,300000,361.4772033691406
1787792024.9760766,301000,455.8492736816406
1787792039.0139625,302000,423.1390686035156
1787792053.1538837,303000,462.4579772949219
1787792067.208995,304000,213.2947998046875
1787792081.2339559,305000,438.0832824707031
1787792095.3076224,306000,428.0947265625
1787792109.3603525,307000,443.25201416015625
1787792123.3708036,308000,471.6914978027344
1787792137.4639895,309000,481.8551025390625
1787792151.6158037,310000,458.879150390625
1787792165.6528642,311000,471.99395751953125
1787792179.5750668,312000,456.52862548828125
1787792193.701927,313000,401.9990234375
1787792207.5893154,314000,463.94036865234375
1787792221.5787032,315000,385.08905029296875
1787792235.5667052,316000,422.2257995605469
1787792249.5841026,317000,420.1564636230469
1787792263.532121,318000,407.6599426269531
1787792277.5439134,319000,338.675537109375
1787792291.558505,320000,494.0176696777344
1787792305.5301912,321000,503.25701904296875
1787792319.562092,322000,264.69476318359375
1787792333.6369936,323000,-55.68144226074219
1787792347.737398,324000,405.7145690917969
1787792361.8282526,325000,458.0988464355469
1787792375.884501,326000,451.67919921875
1787792389.9372451,327000,233.74752807617188
1787792403.894999,328000,446.08843994140625
1787792417.9490228,329000,443.0791320800781
1787792432.0143633,330000,439.1136779785156
1787792446.056404,331000,501.66546630859375
1787792460.1888716,332000,470.8070373535156
1787792474.0968773,333000,354.3373718261719
1787792488.1586726,334000,461.9145812988281
1787792502.1851065,335000,397.3521728515625
1787792516.2382956,336000,253.3539276123047
1787792530.3549705,337000,443.1593933105469
1787792544.368312,338000,373.60040283203125
1787792558.5399082,339000,468.39447021484375
1787792572.6517558,340000,443.97332763671875
1787792586.8199286,341000,351.9834289550781
1787792600.8919022,342000,415.1583557128906
1787792614.935466,343000,472.3782043457031
1787792629.1097853,344000,331.8067321777344
1787792643.184166,345000,427.1085205078125
1787792657.225145,346000,298.4908752441406
1787792671.2087653,347000,385.7411193847656
1787792685.343689,348000,420.78070068359375
1787792699.3673303,349000,-107.63421630859375
1787792713.4680655,350000,358.09564208984375
1787792727.5180476,351000,312.3649597167969
1787792741.4869957,352000,447.962646484375
1787792755.4553971,353000,328.5592346191406
1787792769.4866002,354000,438.4546203613281
1787792783.5645907,355000,327.1275634765625
1787792797.6112509,356000,341.5914001464844
1787792811.5850616,357000,373.15728759765625
1787792825.8061535,358000,435.386474609375
1787792839.8666227,359000,540.4025268554688
1787792854.0548103,360000,391.7066345214844
1787792868.0555422,361000,430.8177185058594
1787792882.0603383,362000,490.7069396972656
1787792896.1946394,363000,349.79766845703125
1787792910.2253392,364000,257.68548583984375
1787792924.2752013,365000,516.6865234375
1787792938.2160003,366000,395.227294921875
1787792952.3331435,367000,390.7276306152344
1787792966.2712398,368000,158.5465087890625
1787792980.3063993,369000,359.0472412109375
1787792994.4778352,370000,411.4598388671875
1787793008.494268,371000,356.0800476074219
1787793022.5244968,372000,355.03961181640625
1787793036.6093142,373000,342.7217712402344
1787793050.6699412,374000,373.1109924316406
1787793064.7033668,375000,483.9145812988281
1787793078.7206364,376000,423.01580810546875
1787793092.7739942,377000,484.66986083984375
1787793106.8285813,378000,487.21246337890625
1787793120.909579,379000,449.6466064453125
