wall_time,step,value
1787787945.7376037,11000,-5.491832733154297
1787787960.0477479,12000,-11.96340274810791
1787787974.4719565,13000,-16.272241592407227
1787787988.807166,14000,-22.046924591064453
1787788003.2144861,15000,-29.33561134338379
1787788017.630743,16000,-37.59394073486328
1787788032.0102098,17000,-45.4443244934082
1787788046.2730875,18000,-53.175140380859375
1787788060.5252712,19000,-60.21658706665039
1787788074.7407112,20000,-66.96155548095703
1787788088.971563,21000,-74.24993133544922
1787788103.1587825,22000,-79.81135559082031
1787788117.3652081,23000,-85.11599731445312
1787788131.6621995,24000,-89.75589752197266
1787788145.872409,25000,-93.78955078125
1787788160.0024977,26000,-97.04395294189453
1787788174.214397,27000,-99.91353607177734
1787788188.311608,28000,-101.66876220703125
1787788202.2370808,29000,-102.71273040771484
1787788216.3268108,30000,-102.84284973144531
1787788230.3103778,31000,-104.22909545898438
1787788244.403321,32000,-104.12213134765625
1787788258.433566,33000,-103.811279296875
1787788272.4078171,34000,-102.4509048461914
1787788286.4103,35000,-101.78067779541016
1787788300.4690087,36000,-100.4290771484375
1787788314.545391,37000,-100.1379165649414
1787788328.500712,38000,-99.48756408691406
1787788342.5604968,39000,-98.22979736328125
1787788356.5403469,40000,-96.84159088134766
1787788370.6338048,41000,-95.64380645751953
1787788384.5988595,42000,-95.03799438476562
1787788398.5730639,43000,-94.01930236816406
1787788412.618604,44000,-93.0754165649414
1787788426.5421836,45000,-91.98423767089844
1787788440.4919534,46000,-91.64928436279297
1787788454.5238717,47000,-90.65910339355469
1787788468.474034,48000,-89.54700469970703
1787788482.5192943,49000,-88.0196762084961
1787788496.4839077,50000,-86.9034652709961
1787788510.4911592,51000,-85.75103759765625
1787788524.4359396,52000,-84.59783935546875
1787788538.4763713,53000,-83.01483917236328
1787788552.5506191,54000,-81.37806701660156
1787788566.6180997,55000,-80.04732513427734
1787788580.5847864,56000,-77.93395233154297
1787788594.6526446,57000,-76.1471939086914
1787788608.6467907,58000,-74.21166229248047
1787788622.6954525,59000,-72.53824615478516
1787788636.690222,60000,-70.98197937011719
1787788650.5858123,61000,-69.0096664428711
1787788664.6529233,62000,-67.02168273925781
1787788678.8168354,63000,-65.59956359863281
1787788692.887709,64000,-64.5008316040039
1787788706.979726,65000,-62.29933166503906
1787788720.951734,66000,-60.78496170043945
1787788734.9624877,67000,-59.34796142578125
1787788749.0301054,68000,-58.05649948120117
1787788763.1361737,69000,-56.558692932128906
1787788777.2706435,70000,-55.16114807128906
1787788791.31841,71000,-53.88869094848633
1787788805.3116214,72000,-52.523902893066406
1787788819.4042537,73000,-50.71107482910156
1787788833.4815345,74000,-49.20002746582031
1787788847.5015807,75000,-47.71310806274414
1787788861.5741732,76000,-46.13636779785156
1787788875.5446956,77000,-44.61392593383789
1787788889.4884815,78000,-43.589599609375
1787788903.598031,79000,-41.70154571533203
1787788917.6570234,80000,-40.80797576904297
1787788931.6497095,81000,-39.05238723754883
1787788945.6765544,82000,-37.61103820800781
1787788959.7707329,83000,-36.588443756103516
1787788973.7739604,84000,-34.27029800415039
1787788987.9119968,85000,-33.30072021484375
1787789001.961705,86000,-31.84263038635254
1787789016.0322127,87000,-30.151784896850586
1787789030.0384672,88000,-28.984384536743164
1787789044.0855484,89000,-27.706499099731445
1787789058.1541317,90000,-26.61725425720215
1787789072.1408973,91000,-25.36016845703125
1787789086.2366424,92000,-24.309141159057617
1787789100.3062143,93000,-22.931156158447266
