wall_time,step,value
1787765105.1125786,1000,64.0
1787765121.6245503,2000,68.0
1787765138.0305085,3000,82.0
1787765154.4173553,4000,71.0
1787765170.963426,5000,65.0
1787765187.2571268,6000,73.0
1787765203.731468,7000,70.0
1787765220.0750334,8000,67.0
1787765236.5035422,9000,80.0
1787765252.9200954,10000,75.0
1787765274.6947837,11000,82.0
1787765296.2735705,12000,92.0
1787765317.8599837,13000,88.0
1787765339.4106958,14000,104.0
1787765361.014577,15000,83.0
1787765382.448885,16000,145.0
1787765403.9555697,17000,107.0
1787765425.323074,18000,195.0
1787765446.561759,19000,204.0
1787765467.8126383,20000,187.0
1787765489.0817163,21000,256.0
1787765510.2517405,22000,202.0
1787765531.3147879,23000,178.0
1787765552.401935,24000,226.0
1787765573.7010574,25000,205.0
1787765594.7928388,26000,263.0
1787765615.8355541,27000,265.0
1787765636.8126183,28000,281.0
1787765657.750315,29000,350.0
1787765678.6971486,30000,260.0
1787765699.6365428,31000,383.0
1787765720.5027008,32000,499.0
1787765741.4072764,33000,499.0
1787765762.2124295,34000,499.0
1787765783.0758393,35000,499.0
1787765803.9307048,36000,499.0
1787765824.7060077,37000,499.0
1787765845.552404,38000,499.0
1787765866.2869194,39000,499.0
1787765887.130212,40000,499.0
1787765908.0827808,41000,499.0
1787765928.9817696,42000,499.0
1787765949.9031525,43000,499.0
1787765970.881145,44000,499.0
1787765991.7862384,45000,499.0
1787766012.6727293,46000,499.0
1787766033.4606767,47000,499.0
1787766054.3212414,48000,499.0
1787766075.3679402,49000,499.0
1787766096.105946,50000,499.0
1787766117.012355,51000,499.0
1787766137.7350547,52000,499.0
1787766158.6275632,53000,499.0
1787766179.5099316,54000,499.0
1787766200.4901516,55000,499.0
1787766221.3787417,56000,499.0
1787766242.291925,57000,499.0
1787766263.1187134,58000,499.0
1787766284.0859876,59000,499.0
1787766304.9598603,60000,499.0
1787766325.773658,61000,499.0
1787766346.616606,62000,499.0
1787766367.5549424,63000,499.0
1787766388.409848,64000,499.0
1787766409.2955973,65000,499.0
1787766430.1011229,66000,499.0
1787766450.928908,67000,499.0
1787766471.8252215,68000,499.0
1787766492.6949224,69000,499.0
1787766513.6067057,70000,499.0
1787766534.4643257,71000,499.0
1787766555.3959076,72000,499.0
1787766576.3957653,73000,499.0
1787766597.2694564,74000,499.0
1787766618.1563141,75000,499.0
1787766638.9942005,76000,499.0
1787766659.8840218,77000,499.0
1787766680.6169949,78000,499.0
1787766701.4793475,79000,499.0
1787766722.203668,80000,499.0
1787766742.9379997,81000,499.0
1787766763.7185664,82000,499.0
1787766784.6089797,83000,499.0
1787766805.3890045,84000,499.0
1787766826.1999142,85000,499.0
1787766847.0801396,86000,499.0
1787766867.9489427,87000,499.0
1787766888.9078057,88000,499.0
1787766909.6880417,89000,499.0
1787766930.46919,90000,499.0
1787766951.2892177,91000,499.0
1787766972.135984,92000,499.0
1787766992.9315553,93000,499.0
1787767013.725667,94000,499.0
1787767034.5073445,95000,499.0
1787767055.3908746,96000,499.0
1787767076.3234227,97000,499.0
1787767097.0590258,98000,499.0
1787767117.8728077,99000,499.0
1787767138.6414554,100000,499.0
1787767159.460421,101000,499.0
1787767180.1892073,102000,499.0
1787767201.0936913,103000,499.0
1787767222.036419,104000,499.0
1787767242.86049,105000,499.0
1787767263.7026732,106000,499.0
1787767284.6304135,107000,499.0
1787767305.5218015,108000,499.0
1787767326.3251703,109000,499.0
1787767347.2545853,110000,499.0
1787767368.104944,111000,499.0
1787767388.8912957,112000,499.0
1787767409.4797354,113000,499.0
1787767430.3085523,114000,499.0
1787767451.1519423,115000,499.0
1787767471.9157941,116000,499.0
1787767492.6778922,117000,499.0
1787767513.5498078,118000,499.0
1787767534.3359296,119000,499.0
1787767555.0784414,120000,499.0
1787767576.0494668,121000,499.0
1787767596.8639996,122000,499.0
1787767617.7902784,123000,499.0
1787767638.655463,124000,499.0
1787767659.6718297,125000,499.0
1787767680.5213268,126000,499.0
1787767701.3188493,127000,499.0
1787767722.0803802,128000,499.0
1787767742.9659314,129000,499.0
1787767763.7979498,130000,499.0
1787767784.7327611,131000,499.0
1787767805.5876844,132000,499.0
1787767826.3834524,133000,499.0
1787767847.2602372,134000,499.0
1787767868.1989508,135000,499.0
1787767888.8357596,136000,499.0
1787767909.602192,137000,499.0
1787767930.4257555,138000,499.0
1787767951.2544994,139000,499.0
1787767972.0970118,140000,499.0
1787767992.9523249,141000,499.0
1787768013.7696335,142000,499.0
1787768034.4670377,143000,499.0
1787768055.3252633,144000,499.0
1787768076.1092439,145000,499.0
1787768096.991633,146000,499.0
1787768117.8668995,147000,499.0
1787768138.7517643,148000,499.0
1787768159.5638363,149000,499.0
1787768180.4715786,150000,499.0
1787768201.218659,151000,499.0
1787768222.1164434,152000,499.0
1787768242.9018447,153000,499.0
1787768263.6512947,154000,499.0
1787768284.5289586,155000,499.0
1787768305.4499853,156000,499.0
1787768326.207802,157000,499.0
1787768347.0777597,158000,499.0
1787768367.9600883,159000,499.0
1787768388.90084,160000,499.0
1787768409.7223275,161000,499.0
1787768430.5185273,162000,499.0
1787768451.3388002,163000,499.0
1787768472.1828177,164000,499.0
1787768493.023301,165000,499.0
1787768513.903343,166000,499.0
1787768534.748236,167000,499.0
1787768555.548978,168000,499.0
1787768576.497863,169000,499.0
1787768597.4283442,170000,499.0
1787768618.238883,171000,499.0
1787768638.9736433,172000,499.0
1787768659.8663993,173000,499.0
1787768680.7273219,174000,499.0
1787768701.5863805,175000,499.0
1787768722.4442177,176000,499.0
1787768743.3352208,177000,499.0
1787768764.228687,178000,499.0
1787768784.9284904,179000,499.0
1787768805.7946012,180000,499.0
1787768826.6792824,181000,499.0
1787768847.583644,182000,499.0
1787768868.237538,183000,499.0
1787768889.1239448,184000,499.0
1787768909.9628944,185000,499.0
1787768930.7593749,186000,499.0
1787768951.6368704,187000,499.0
1787768972.374853,188000,499.0
1787768993.328177,189000,499.0
1787769014.1912665,190000,499.0
1787769035.0145934,191000,499.0
1787769055.7897184,192000,499.0
1787769076.5925846,193000,499.0
1787769097.3299549,194000,499.0
1787769118.1821985,195000,499.0
1787769139.0802836,196000,499.0
1787769159.9126992,197000,499.0
1787769180.770284,198000,499.0
1787769201.5854666,199000,499.0
1787769222.4746623,200000,499.0
1787769243.2238097,201000,499.0
1787769263.9054677,202000,499.0
1787769284.802089,203000,499.0
1787769305.6102238,204000,499.0
1787769326.3982322,205000,499.0
1787769347.2079873,206000,499.0
1787769368.0567408,207000,499.0
1787769388.8973284,208000,499.0
1787769409.7098234,209000,499.0
1787769430.5832899,210000,499.0
1787769451.543829,211000,499.0
1787769472.3434632,212000,499.0
1787769493.1316512,213000,499.0
1787769513.8221698,214000,499.0
1787769534.7169726,215000,499.0
1787769555.5172303,216000,499.0
1787769576.4115064,217000,499.0
1787769597.283793,218000,499.0
1787769618.2178044,219000,499.0
1787769639.0137022,220000,499.0
1787769659.8754792,221000,499.0
1787769680.6458766,222000,499.0
1787769701.4731042,223000,499.0
1787769722.3413258,224000,499.0
1787769743.228558,225000,499.0
1787769763.9611578,226000,499.0
1787769784.6972857,227000,499.0
1787769805.5702314,228000,499.0
1787769826.3039567,229000,499.0
1787769847.2234418,230000,499.0
1787769868.041829,231000,499.0
1787769888.9118924,232000,499.0
1787769909.793352,233000,499.0
1787769930.5984268,234000,499.0
1787769951.570112,235000,499.0
1787769972.5369956,236000,499.0
1787769993.294987,237000,499.0
1787770014.0145133,238000,499.0
1787770034.798998,239000,499.0
1787770055.5690906,240000,499.0
1787770076.2450166,241000,499.0
1787770097.0080764,242000,499.0
1787770117.8164208,243000,499.0
1787770138.5820997,244000,499.0
1787770159.4659708,245000,499.0
1787770180.2326329,246000,499.0
1787770200.9487815,247000,499.0
1787770221.816335,248000,499.0
1787770242.7050269,249000,499.0
1787770263.4391248,250000,499.0
1787770284.2885847,251000,499.0
1787770305.135382,252000,499.0
1787770326.0650883,253000,499.0
1787770346.9483967,254000,499.0
1787770367.8834488,255000,499.0
1787770388.7112014,256000,499.0
1787770409.6666474,257000,499.0
1787770430.5367522,258000,499.0
1787770451.2891607,259000,499.0
1787770472.024409,260000,499.0
1787770492.889997,261000,499.0
1787770513.5439389,262000,499.0
1787770534.2359838,263000,499.0
1787770555.0605812,264000,499.0
1787770575.7555583,265000,499.0
1787770596.605438,266000,499.0
1787770617.3775184,267000,499.0
1787770638.140328,268000,499.0
1787770658.6604464,269000,499.0
1787770679.3805037,270000,499.0
1787770700.1174598,271000,499.0
1787770720.9575846,272000,499.0
1787770741.8364165,273000,499.0
1787770762.7631192,274000,499.0
1787770783.5535045,275000,499.0
1787770804.344194,276000,499.0
1787770825.3350365,277000,499.0
1787770846.2744348,278000,499.0
1787770867.054973,279000,499.0
1787770887.985237,280000,499.0
1787770908.7624516,281000,499.0
1787770929.6265066,282000,499.0
1787770950.5255919,283000,499.0
1787770971.5956812,284000,499.0
1787770992.5899618,285000,499.0
1787771013.4818249,286000,499.0
1787771034.325001,287000,499.0
1787771055.2938638,288000,499.0
1787771076.2217238,289000,499.0
1787771097.0752573,290000,499.0
1787771117.999748,291000,499.0
1787771138.940667,292000,499.0
1787771159.7336352,293000,499.0
