wall_time,step,value
1787765105.1126156,1000,16.0
1787765121.6245868,2000,23.0
1787765138.0305443,3000,15.0
1787765154.4173899,4000,18.0
1787765170.9634602,5000,17.0
1787765187.2571616,6000,21.0
1787765203.731509,7000,16.0
1787765220.0750687,8000,19.0
1787765236.5035782,9000,25.0
1787765252.9201334,10000,18.0
1787765274.6948318,11000,23.0
1787765296.2736437,12000,21.0
1787765317.8600326,13000,25.0
1787765339.4107497,14000,20.0
1787765361.014627,15000,16.0
1787765382.4489343,16000,24.0
1787765403.9556284,17000,16.0
1787765425.323167,18000,25.0
1787765446.5618243,19000,15.0
1787765467.8127131,20000,17.0
1787765489.0817645,21000,24.0
1787765510.2517924,22000,20.0
1787765531.3148406,23000,68.0
1787765552.401992,24000,55.0
1787765573.7011163,25000,13.0
1787765594.7928903,26000,15.0
1787765615.8356066,27000,22.0
1787765636.8126795,28000,37.0
1787765657.7505755,29000,29.0
1787765678.6971984,30000,143.0
1787765699.6365895,31000,19.0
1787765720.502749,32000,185.0
1787765741.4073434,33000,499.0
1787765762.212482,34000,201.0
1787765783.0758872,35000,499.0
1787765803.9307768,36000,499.0
1787765824.7060556,37000,499.0
1787765845.552461,38000,299.0
1787765866.2869556,39000,499.0
1787765887.1302552,40000,228.0
1787765908.0828347,41000,23.0
1787765928.9818184,42000,499.0
1787765949.9032006,43000,499.0
1787765970.8812091,44000,26.0
1787765991.786287,45000,52.0
1787766012.672776,46000,499.0
1787766033.460736,47000,499.0
1787766054.3213673,48000,499.0
1787766075.3679852,49000,18.0
1787766096.106006,50000,48.0
1787766117.012535,51000,167.0
1787766137.735094,52000,59.0
1787766158.627615,53000,36.0
1787766179.5099878,54000,499.0
1787766200.4902012,55000,499.0
1787766221.3787992,56000,499.0
1787766242.2919884,57000,499.0
1787766263.118764,58000,499.0
1787766284.0860379,59000,499.0
1787766304.9598894,60000,499.0
1787766325.7737088,61000,499.0
1787766346.6166978,62000,499.0
1787766367.5550077,63000,450.0
1787766388.4099069,64000,499.0
1787766409.2956488,65000,499.0
1787766430.1011577,66000,499.0
1787766450.9290235,67000,499.0
1787766471.8252778,68000,499.0
1787766492.694984,69000,499.0
1787766513.6067657,70000,27.0
1787766534.4643817,71000,15.0
1787766555.3959606,72000,499.0
1787766576.395826,73000,432.0
1787766597.2694924,74000,204.0
1787766618.1563737,75000,499.0
1787766638.9942675,76000,499.0
1787766659.8840728,77000,19.0
1787766680.6170259,78000,499.0
1787766701.4793968,79000,499.0
1787766722.203755,80000,499.0
1787766742.9380593,81000,499.0
1787766763.718614,82000,499.0
1787766784.6090267,83000,27.0
1787766805.389048,84000,499.0
1787766826.1999598,85000,499.0
1787766847.0801866,86000,499.0
1787766867.948998,87000,20.0
1787766888.9078467,88000,42.0
1787766909.688084,89000,499.0
1787766930.469238,90000,499.0
1787766951.2892585,91000,499.0
1787766972.1360407,92000,499.0
1787766992.9316356,93000,499.0
1787767013.7257116,94000,499.0
1787767034.5073884,95000,26.0
1787767055.3909163,96000,499.0
1787767076.3234756,97000,24.0
1787767097.0591586,98000,15.0
1787767117.8728604,99000,499.0
1787767138.6415324,100000,499.0
1787767159.4604764,101000,499.0
1787767180.1892312,102000,499.0
1787767201.0937433,103000,19.0
1787767222.0365384,104000,499.0
1787767242.8606029,105000,499.0
1787767263.7027361,106000,499.0
1787767284.6304781,107000,31.0
1787767305.521848,108000,499.0
1787767326.3252356,109000,499.0
1787767347.2546496,110000,499.0
1787767368.1050038,111000,499.0
1787767388.8913429,112000,499.0
1787767409.4797857,113000,499.0
1787767430.3086407,114000,31.0
1787767451.151965,115000,499.0
1787767471.9158173,116000,499.0
1787767492.6779466,117000,36.0
1787767513.5498617,118000,499.0
1787767534.3359945,119000,221.0
1787767555.0784812,120000,376.0
1787767576.0495148,121000,79.0
1787767596.8640468,122000,499.0
1787767617.7903268,123000,499.0
1787767638.6555169,124000,499.0
