wall_time,step,value
1787765105.1130598,1000,-80.56437683105469
1787765121.6248763,2000,-69.53779602050781
1787765138.0308096,3000,-71.63502502441406
1787765154.4176767,4000,-76.97855377197266
1787765170.9638026,5000,-70.15288543701172
1787765187.2574801,6000,-85.5572280883789
1787765203.7318902,7000,-70.33009338378906
1787765220.075371,8000,-81.12153625488281
1787765236.5039213,9000,-73.26634216308594
1787765252.9204078,10000,-71.5372085571289
1787765274.6950352,11000,-52.444740295410156
1787765296.2738361,12000,-47.08384704589844
1787765317.8602352,13000,-51.174137115478516
1787765339.4109716,14000,-43.175392150878906
1787765361.014834,15000,-39.12993240356445
1787765382.4491503,16000,-59.58167266845703
1787765403.9558375,17000,-52.45866394042969
1787765425.3235562,18000,-75.61571502685547
1787765446.562044,19000,-76.7211685180664
1787765467.8130112,20000,-58.014076232910156
1787765489.0821464,21000,-67.26895904541016
1787765510.2519972,22000,-82.6524658203125
1787765531.3150516,23000,-94.44388580322266
1787765552.402217,24000,-99.0164566040039
1787765573.7013347,25000,-71.1607894897461
1787765594.7930968,26000,-101.81991577148438
1787765615.8359473,27000,-114.60944366455078
1787765636.8129098,28000,-152.82179260253906
1787765657.750879,29000,-150.6352081298828
1787765678.6974015,30000,-180.53353881835938
1787765699.6367953,31000,-149.451904296875
1787765720.5029535,32000,-276.6503601074219
1787765741.4076145,33000,-427.18499755859375
1787765762.2126837,34000,-279.5171203613281
1787765783.0760877,35000,-373.0355224609375
1787765803.9309995,36000,-418.6875915527344
1787765824.7062573,37000,-398.8732604980469
1787765845.5528414,38000,-334.0418701171875
1787765866.2871792,39000,-347.865966796875
1787765887.1304514,40000,-263.89239501953125
1787765908.083046,41000,-246.60455322265625
1787765928.9821131,42000,-364.8458251953125
1787765949.9034007,43000,-341.0571594238281
1787765970.8814688,44000,-240.46571350097656
1787765991.7865405,45000,-254.98045349121094
1787766012.672988,46000,-353.7625732421875
1787766033.460977,47000,-354.82342529296875
1787766054.3217654,48000,-334.13525390625
1787766075.3681962,49000,-143.95419311523438
1787766096.106286,50000,-228.09007263183594
1787766117.0126271,51000,-252.0169677734375
1787766137.7352898,52000,-190.97047424316406
1787766158.6278255,53000,-234.08555603027344
1787766179.5102148,54000,-343.56585693359375
1787766200.4904046,55000,-353.603271484375
1787766221.3790221,56000,-337.57879638671875
1787766242.2922854,57000,-339.36175537109375
1787766263.1189713,58000,-322.4300537109375
1787766284.0862427,59000,-327.1252136230469
1787766304.9601629,60000,-305.9180603027344
1787766325.7739778,61000,-301.64886474609375
1787766346.6171842,62000,-298.7054443359375
1787766367.5553017,63000,-262.6585693359375
