wall_time,step,value
1787765105.1129172,1000,-24.168529510498047
1787765121.6248124,2000,-21.759201049804688
1787765138.0307512,3000,-24.994836807250977
1787765154.4176166,4000,-25.161941528320312
1787765170.9637449,5000,-20.044239044189453
1787765187.2573717,6000,-27.302461624145508
1787765203.7318025,7000,-22.519210815429688
1787765220.0753016,8000,-25.916858673095703
1787765236.5038304,9000,-18.870328903198242
1787765252.920342,10000,-24.29947853088379
1787765274.6949835,11000,-20.088668823242188
1787765296.273785,12000,-26.87240982055664
1787765317.8601828,13000,-22.516551971435547
1787765339.4109085,14000,-30.928180694580078
1787765361.0147822,15000,-26.911527633666992
1787765382.449099,16000,-39.782222747802734
1787765403.9557862,17000,-34.890010833740234
1787765425.3234255,18000,-64.51353454589844
1787765446.561992,19000,-64.75762176513672
1787765467.8129344,20000,-47.10792541503906
1787765489.082112,21000,-47.427032470703125
1787765510.2519453,22000,-61.431339263916016
1787765531.3149996,23000,-68.20291137695312
1787765552.4021604,24000,-89.27882385253906
1787765573.7012837,25000,-53.699249267578125
1787765594.7930443,26000,-82.36087036132812
1787765615.8358893,27000,-85.4107894897461
1787765636.812853,28000,-96.47200775146484
1787765657.7508252,29000,-111.33778381347656
1787765678.69735,30000,-116.76111602783203
1787765699.636745,31000,-114.59679412841797
1787765720.5029,32000,-188.87063598632812
1787765741.4075599,33000,-300.064697265625
1787765762.212633,34000,-215.75424194335938
1787765783.0760367,35000,-255.5962371826172
1787765803.930949,36000,-310.0805969238281
1787765824.7062066,37000,-290.9785461425781
1787765845.5528126,38000,-254.90956115722656
1787765866.2871218,39000,-147.17373657226562
1787765887.1303985,40000,-166.3990936279297
1787765908.082991,41000,-182.66017150878906
1787765928.9819667,42000,-266.0049133300781
1787765949.9033506,43000,-233.64007568359375
1787765970.881416,44000,-109.32239532470703
1787765991.786488,45000,-141.98080444335938
1787766012.6729364,46000,-155.13311767578125
1787766033.460921,47000,-224.90077209472656
1787766054.3216357,48000,-219.69778442382812
1787766075.3681438,49000,-101.76817321777344
1787766096.1061964,50000,-137.75083923339844
1787766117.0126088,51000,-174.36000061035156
1787766137.7352376,52000,-137.67898559570312
1787766158.627772,53000,-169.0872039794922
1787766179.5101602,54000,-223.77536010742188
1787766200.490353,55000,-270.5440673828125
1787766221.3789673,56000,-318.0090637207031
1787766242.2922301,57000,-291.65826416015625
1787766263.1189196,58000,-295.96563720703125
1787766284.0861914,59000,-247.24794006347656
1787766304.9600813,60000,-198.95889282226562
1787766325.7738972,61000,-201.88999938964844
1787766346.6169367,62000,-193.8380126953125
1787766367.5552187,63000,-200.107177734375
1787766388.4101114,64000,-146.80157470703125
1787766409.295802,65000,-148.91842651367188
1787766430.1014025,66000,-218.11859130859375
1787766450.9293916,67000,-166.4449462890625
1787766471.8254473,68000,-181.04150390625
1787766492.6951542,69000,-256.376708984375
1787766513.6069806,70000,-130.91835021972656
1787766534.4645476,71000,-122.55999755859375
1787766555.3961174,72000,-210.0030517578125
1787766576.3960345,73000,-244.12567138671875
1787766597.2696419,74000,-213.6153564453125
1787766618.1565926,75000,-165.25787353515625
1787766638.9946876,76000,-228.9250030517578
