wall_time,step,value
1787765105.1132696,1000,-1.3486425876617432
1787765121.6250527,2000,-1.1934287548065186
1787765138.0309372,3000,-1.3903169631958008
1787765154.4178047,4000,-1.3476699590682983
1787765170.963988,5000,-1.3379602432250977
1787765187.2576945,6000,-1.4564365148544312
1787765203.7320209,7000,-1.3638200759887695
1787765220.0755546,8000,-1.2693357467651367
1787765236.5041318,9000,-1.2413145303726196
1787765252.920558,10000,-1.1856838464736938
1787765274.6952486,11000,-1.4226101636886597
1787765296.2739635,12000,-2.022078275680542
1787765317.8603632,13000,-1.3566510677337646
1787765339.4110837,14000,-1.216447353363037
1787765361.0149632,15000,-1.378275752067566
1787765382.4492798,16000,-1.0874521732330322
1787765403.9559674,17000,-1.1097685098648071
1787765425.3237493,18000,-1.4952139854431152
1787765446.5621712,19000,-1.782616138458252
1787765467.8131936,20000,-1.636974573135376
1787765489.082196,21000,-1.606566309928894
1787765510.2521255,22000,-1.8536558151245117
1787765531.3151805,23000,-1.407262921333313
1787765552.4023542,24000,-2.4123892784118652
1787765573.7014632,25000,-0.9601357579231262
1787765594.7932265,26000,-0.7687721252441406
1787765615.8361118,27000,-0.8541179895401001
1787765636.8132458,28000,-0.6364673376083374
1787765657.7510154,29000,-1.1076843738555908
1787765678.6975248,30000,-0.45036590099334717
1787765699.636921,31000,-0.9630336165428162
1787765720.503082,32000,-0.3419029712677002
1787765741.4078174,33000,-0.5086970329284668
1787765762.2128093,34000,-0.5674436092376709
1787765783.0762217,35000,-1.2130866050720215
1787765803.9311442,36000,-0.3926788866519928
1787765824.7063835,37000,-0.8790398240089417
1787765845.5528998,38000,-0.8456817269325256
1787765866.2873962,39000,-0.6400219202041626
1787765887.1305807,40000,-0.19525688886642456
1787765908.0831742,41000,-1.0334596633911133
1787765928.982468,42000,-0.5288988351821899
1787765949.9036648,43000,-0.8511000275611877
1787765970.881599,44000,-0.7798319458961487
1787765991.7867584,45000,-0.6180269718170166
1787766012.6731284,46000,-0.8675764799118042
1787766033.461115,47000,-0.3963266611099243
