wall_time,step,value
1787765105.1129935,1000,-9.399215698242188
1787765121.624848,2000,-8.832489967346191
1787765138.0307827,3000,-9.518911361694336
1787765154.417648,4000,-9.251983642578125
1787765170.9637601,5000,-8.761371612548828
1787765187.257404,6000,-10.321534156799316
1787765203.7318563,7000,-8.817647933959961
1787765220.0753613,8000,-10.406549453735352
1787765236.5038767,9000,-8.539986610412598
1787765252.9203775,10000,-9.657392501831055
1787765274.6950095,11000,-8.196490287780762
1787765296.2738106,12000,-9.726109504699707
1787765317.860209,13000,-10.484429359436035
1787765339.4109344,14000,-12.270426750183105
1787765361.0148084,15000,-10.128064155578613
1787765382.4491248,16000,-13.951400756835938
1787765403.955812,17000,-12.427629470825195
1787765425.3234937,18000,-16.990015029907227
1787765446.5620177,19000,-18.868572235107422
1787765467.8129747,20000,-13.073427200317383
1787765489.0821333,21000,-14.115689277648926
1787765510.251971,22000,-16.317724227905273
1787765531.3150256,23000,-18.275394439697266
1787765552.4021919,24000,-23.540409088134766
1787765573.7013094,25000,-13.37867546081543
1787765594.7930706,26000,-15.186616897583008
1787765615.835935,27000,-15.685751914978027
1787765636.8128824,28000,-19.431842803955078
1787765657.7508526,29000,-23.263826370239258
1787765678.697376,30000,-26.80361557006836
1787765699.6367702,31000,-24.545360565185547
1787765720.5029278,32000,-25.594926834106445
1787765741.4075866,33000,-36.36388397216797
1787765762.2126582,34000,-30.112573623657227
1787765783.0760622,35000,-42.39397430419922
1787765803.9309742,36000,-32.3399772644043
1787765824.706232,37000,-28.947677612304688
1787765845.5528271,38000,-36.512596130371094
1787765866.2871501,39000,-23.806819915771484
1787765887.130426,40000,-19.913616180419922
1787765908.0830166,41000,-20.213132858276367
1787765928.9819925,42000,-37.40148162841797
1787765949.9033759,43000,-34.06816482543945
1787765970.8814425,44000,-22.685192108154297
1787765991.786515,45000,-20.22526741027832
1787766012.672962,46000,-26.677825927734375
1787766033.4609487,47000,-25.39413070678711
1787766054.3216865,48000,-28.474361419677734
1787766075.3681703,49000,-21.245773315429688
1787766096.1062315,50000,-28.51284408569336
1787766117.012618,51000,-27.066600799560547
1787766137.735264,52000,-21.02779769897461
1787766158.6277997,53000,-32.4803581237793
1787766179.5101862,54000,-30.378116607666016
1787766200.490379,55000,-26.972618103027344
1787766221.3789945,56000,-44.42798614501953
1787766242.292258,57000,-34.654296875
1787766263.1189456,58000,-36.53069305419922
1787766284.086217,59000,-26.603137969970703
1787766304.9601226,60000,-39.082733154296875
1787766325.7739513,61000,-38.464698791503906
1787766346.6171622,62000,-34.84278869628906
1787766367.5552537,63000,-48.46376037597656
1787766388.4101708,64000,-29.031524658203125
1787766409.2958276,65000,-26.564176559448242
1787766430.1014426,66000,-34.46097183227539
1787766450.9294508,67000,-21.473968505859375
1787766471.8254766,68000,-39.99734878540039
1787766492.695182,69000,-67.4359130859375
1787766513.6070318,70000,-28.857709884643555
1787766534.4645746,71000,-29.377485275268555
1787766555.396143,72000,-30.228103637695312
1787766576.3960764,73000,-38.04088592529297
1787766597.2696676,74000,-34.05525207519531
1787766618.1566024,75000,-33.72759246826172
1787766638.9947267,76000,-25.865142822265625
1787766659.8842516,77000,-15.508988380432129
1787766680.617264,78000,-52.95664596557617
1787766701.4796197,79000,-35.44237518310547
1787766722.2039893,80000,-49.12348175048828
1787766742.9383042,81000,-29.548133850097656
1787766763.7187896,82000,-34.182735443115234
1787766784.6092017,83000,-19.608043670654297
1787766805.3892207,84000,-33.132598876953125
1787766826.2002804,85000,-39.907752990722656
1787766847.0803623,86000,-48.37820053100586
1787766867.9492342,87000,-22.05204963684082
1787766888.9080184,88000,-33.85379409790039
1787766909.6882496,89000,-48.80250930786133
1787766930.4696577,90000,-34.92794418334961
1787766951.2896144,91000,-43.79141616821289
1787766972.136194,92000,-33.88841247558594
1787766992.9318428,93000,-42.61615753173828
1787767013.7258992,94000,-34.49559783935547
1787767034.5075822,95000,-29.42699432373047
1787767055.391194,96000,-34.12813186645508
1787767076.3238227,97000,-31.623079299926758
1787767097.0592294,98000,-22.175830841064453
1787767117.8732302,99000,-37.28510665893555
1787767138.641719,100000,-44.556854248046875
1787767159.460706,101000,-42.83197784423828
1787767180.189457,102000,-36.70368576049805
