wall_time,step,value
1787787754.9031003,1000,0.0
1787787759.7566192,2000,0.0
1787787764.665517,3000,0.0
1787787769.5990567,4000,0.0
1787787774.47812,5000,0.0
1787787779.3619466,6000,0.0
1787787784.2649534,7000,0.0
1787787789.202961,8000,0.0
1787787794.1489713,9000,0.0
1787787799.0409622,10000,0.0
1787787806.1885097,11000,0.0
1787787813.3491697,12000,0.0
1787787820.8042562,13000,0.0
1787787832.5292585,14000,0.0
1787787847.704115,15000,0.0
1787787862.699938,16000,0.0
1787787877.6966672,17000,0.0
1787787892.7740273,18000,0.0
1787787907.8539193,19000,0.0
1787787922.8482513,20000,0.0
1787787937.4338257,21000,0.0
1787787951.6540015,22000,0.0
1787787965.8432772,23000,0.0
1787787979.9977467,24000,0.0
1787787994.2188303,25000,0.0
1787788008.399872,26000,0.0
1787788022.6246924,27000,0.0
1787788036.7831733,28000,0.0
1787788050.9093344,29000,0.0
1787788064.9912417,30000,0.0
1787788078.9841554,31000,0.0
1787788093.0572267,32000,0.0
1787788107.190831,33000,0.0
1787788121.2362604,34000,0.0
1787788135.3390522,35000,0.0
1787788149.4723644,36000,0.0
1787788163.4268239,37000,0.0
1787788177.6375308,38000,0.0
1787788191.577769,39000,0.0
1787788205.5615642,40000,0.0
1787788219.570236,41000,0.0
1787788233.5338051,42000,0.0
1787788247.5016396,43000,0.0
1787788261.4722643,44000,0.0
1787788275.4828873,45000,0.0
1787788289.4579728,46000,0.0
1787788303.4567194,47000,0.0
1787788317.4821143,48000,0.0
1787788331.4289486,49000,0.0
1787788345.422836,50000,0.0
1787788359.4227097,51000,0.0
1787788373.4710386,52000,0.0
1787788387.4075243,53000,0.0
1787788401.310153,54000,0.0
1787788415.3164792,55000,0.0
1787788429.201372,56000,0.0
1787788443.1618266,57000,0.0
1787788457.174538,58000,0.0
1787788471.1060333,59000,0.0
1787788485.1086764,60000,0.0
1787788498.9712112,61000,0.0
1787788512.8958,62000,0.0
1787788526.834541,63000,0.0
1787788540.857922,64000,0.0
1787788554.871638,65000,0.0
1787788568.9054494,66000,0.0
1787788582.8327014,67000,0.0
1787788596.8528736,68000,0.0
1787788610.8312614,69000,0.0
1787788624.865062,70000,0.0
1787788638.8051288,71000,0.0
1787788652.7086797,72000,0.0
1787788666.698756,73000,0.0
1787788680.737437,74000,0.0
1787788694.7131126,75000,0.0
1787788708.784029,76000,0.0
1787788722.660396,77000,0.0
1787788736.6571321,78000,0.0
1787788750.6746747,79000,0.0
1787788764.7182114,80000,0.0
1787788778.739716,81000,0.0
1787788792.746503,82000,0.0
1787788806.7362833,83000,0.0
1787788820.7492583,84000,0.0
1787788834.7758725,85000,0.0
1787788848.7259202,86000,0.0
1787788862.722583,87000,0.0
1787788876.6312587,88000,0.0
1787788890.5521126,89000,0.0
1787788904.665624,90000,0.0
1787788918.6651266,91000,0.0
1787788932.6255572,92000,0.0
1787788946.6108997,93000,0.0
1787788960.637339,94000,0.0
1787788974.5974412,95000,0.0
1787788988.6563716,96000,0.0
1787789002.6485927,97000,0.0
1787789016.6645858,98000,0.0
1787789030.635739,99000,0.0
1787789044.6410508,100000,0.0
1787789058.6883054,101000,0.0
1787789072.6177604,102000,0.0
1787789086.6026125,103000,0.0
1787789100.6441982,104000,0.0
1787789114.6448166,105000,0.0
1787789128.6680367,106000,0.0
1787789142.7335296,107000,0.0
1787789156.7109919,108000,0.0
1787789170.676915,109000,0.0
1787789184.6263418,110000,0.0
1787789198.611813,111000,0.0
1787789212.6506464,112000,0.0
1787789226.7110312,113000,0.0
1787789240.83668,114000,0.0
1787789254.816004,115000,0.0
1787789268.8370216,116000,0.0
1787789282.7749968,117000,0.0
1787789296.812008,118000,0.0
1787789310.937449,119000,0.0
1787789324.9733756,120000,0.0
1787789339.0990202,121000,0.0
1787789353.1823413,122000,0.0
1787789367.3625684,123000,0.0
1787789381.3833282,124000,0.0
1787789395.436252,125000,0.0
1787789409.5285428,126000,0.0
1787789423.54493,127000,0.0
1787789437.5683498,128000,0.0
1787789451.6173298,129000,0.0
1787789465.6022372,130000,0.0
1787789479.7324133,131000,0.0
1787789493.6691613,132000,0.0
1787789507.7297153,133000,0.0
1787789521.7580063,134000,0.0
1787789535.7189338,135000,0.0
1787789549.7756221,136000,0.0
1787789563.8344264,137000,0.0
1787789577.8702235,138000,0.0
1787789591.8693013,139000,0.0
1787789605.944451,140000,0.0
1787789620.0217624,141000,0.0
1787789633.979328,142000,0.0
1787789648.041217,143000,0.0
1787789662.0617151,144000,0.0
1787789675.9900508,145000,0.0
1787789690.0475256,146000,0.0
1787789704.06275,147000,0.0
1787789718.0561419,148000,0.0
1787789732.0422735,149000,0.0
1787789745.99266,150000,0.0
1787789760.032035,151000,0.0
1787789773.9881346,152000,0.0
1787789788.0019615,153000,0.0
1787789802.0747495,154000,0.0
1787789816.0449266,155000,0.0
1787789830.0422533,156000,0.0
1787789844.0575483,157000,0.0
1787789858.0793378,158000,0.0
1787789871.9824378,159000,0.0
1787789885.9929364,160000,0.0
1787789899.9688525,161000,0.0
1787789913.9457934,162000,0.0
1787789928.095985,163000,0.0
1787789942.0360544,164000,0.0
1787789956.1429555,165000,0.0
1787789970.0589266,166000,0.0
1787789983.9828482,167000,0.0
1787789997.9750018,168000,0.0
1787790011.8468726,169000,0.0
1787790025.9163415,170000,0.0
1787790039.9061644,171000,0.0
1787790053.9769814,172000,0.0
1787790067.9935677,173000,0.0
1787790082.1219742,174000,0.0
1787790096.1326416,175000,0.0
1787790110.136078,176000,0.0
1787790124.110003,177000,0.0
1787790138.1312997,178000,0.0
1787790152.067874,179000,0.0
1787790165.9834566,180000,0.0
1787790179.8716393,181000,0.0
1787790193.8748662,182000,0.0
1787790207.9577167,183000,0.0
1787790221.982739,184000,0.0
1787790235.9276745,185000,0.0
1787790250.030214,186000,0.0
1787790264.101772,187000,0.0
1787790278.148925,188000,0.0
1787790292.170687,189000,0.0
1787790306.230662,190000,0.0
1787790320.3703504,191000,0.0
1787790334.42005,192000,0.0
1787790348.4443483,193000,0.0
1787790362.4657743,194000,0.0
1787790376.4718225,195000,0.0
1787790390.3802412,196000,0.0
1787790404.350321,197000,0.0
1787790418.327073,198000,0.0
1787790432.3899975,199000,0.0
1787790446.4174554,200000,0.0
1787790460.401521,201000,0.0
1787790474.3636918,202000,0.0
1787790488.329058,203000,0.0
1787790502.3486085,204000,0.0
1787790516.342331,205000,0.0
1787790530.3294141,206000,0.0
1787790544.355009,207000,0.0
1787790558.379502,208000,0.0
1787790572.4095218,209000,0.0
1787790586.3920789,210000,0.0
1787790600.5533168,211000,0.0
1787790614.5217745,212000,0.0
1787790628.5849693,213000,0.0
1787790642.640371,214000,0.0
1787790656.6796596,215000,0.0
1787790670.854791,216000,0.0
1787790684.7983835,217000,0.0
1787790698.7964623,218000,0.0
1787790712.8288052,219000,0.0
1787790726.833992,220000,0.0
1787790740.7126122,221000,0.0
1787790754.7451584,222000,0.0
1787790768.7781363,223000,0.0
1787790782.7763188,224000,0.0
1787790796.7793126,225000,0.0
1787790810.751175,226000,0.0
1787790824.833904,227000,0.0
1787790838.8532562,228000,0.0
1787790852.8871865,229000,0.0
1787790867.0324688,230000,0.0
1787790881.121167,231000,0.0
1787790895.0619004,232000,0.0
1787790909.0619745,233000,0.0
1787790923.0740237,234000,0.0
1787790937.0661886,235000,0.0
1787790951.1560946,236000,0.0
1787790965.1859686,237000,0.0
1787790979.195559,238000,0.0
1787790993.198382,239000,0.0
1787791007.2225163,240000,0.0
1787791021.2668946,241000,0.0
1787791035.2859082,242000,0.0
1787791049.352209,243000,0.0
1787791063.3760538,244000,0.0
1787791077.4176493,245000,-0.00011800028732977808
1787791091.5446742,246000,0.0
1787791105.5377543,247000,0.0
1787791119.6182902,248000,0.0
1787791133.6084678,249000,0.0
1787791147.638155,250000,0.0
1787791161.573552,251000,0.0
1787791175.5644672,252000,0.0
1787791189.5852509,253000,0.0
1787791203.4594913,254000,0.0
1787791217.5610938,255000,0.0
1787791231.605082,256000,0.0
1787791245.5737607,257000,0.0
1787791259.5350752,258000,0.0
1787791273.5300672,259000,0.0
1787791287.429814,260000,0.0
1787791301.5200822,261000,0.0
1787791315.452582,262000,0.0
1787791329.5744202,263000,0.0
1787791343.5579689,264000,0.0
1787791357.585978,265000,0.0
1787791371.5881948,266000,0.0
1787791385.5510907,267000,0.0
1787791399.6646354,268000,0.0
1787791413.7350104,269000,0.0
1787791427.720138,270000,0.0
1787791441.6452148,271000,0.0
1787791455.6619565,272000,0.0
1787791469.7731636,273000,0.0
1787791483.8120153,274000,0.0
1787791497.7833593,275000,0.0
1787791511.7426014,276000,0.0
1787791525.7255077,277000,0.0
1787791539.6136184,278000,0.0
1787791553.6007664,279000,0.0
1787791567.60992,280000,0.0
1787791581.6265888,281000,0.0
1787791595.653922,282000,0.0
1787791609.7220619,283000,0.0
1787791623.7950943,284000,0.0
1787791637.9012322,285000,0.0
1787791651.9354734,286000,0.0
1787791665.9885635,287000,0.0
1787791680.0643518,288000,0.0
1787791693.9315906,289000,0.0
1787791707.8778412,290000,0.0
1787791721.799472,291000,0.0
1787791735.9198985,292000,0.0
1787791749.8514132,293000,0.0
1787791763.861814,294000,0.0
1787791777.8835053,295000,0.0
1787791791.7972631,296000,0.0
1787791805.7607274,297000,0.0
1787791819.8134115,298000,0.0
1787791833.7457094,299000,0.0
1787791847.8063302,300000,0.0
1787791861.867982,301000,0.0
1787791875.8126771,302000,0.0
1787791889.8103034,303000,0.0
1787791903.8068428,304000,0.0
1787791917.7532158,305000,0.0
1787791931.6602476,306000,0.0
1787791945.7373579,307000,0.0
1787791959.8200588,308000,0.0
1787791973.780421,309000,0.0
1787791987.7212331,310000,0.0
1787792001.871663,311000,0.0
1787792015.9276307,312000,0.0
1787792029.9392946,313000,0.0
1787792043.9982672,314000,0.0
1787792058.0269685,315000,0.0
1787792072.1243298,316000,0.0
1787792086.0396795,317000,0.0
1787792100.1368523,318000,0.0
1787792114.1243725,319000,0.0
1787792128.1175196,320000,0.0
1787792142.232799,321000,0.0
1787792156.303672,322000,0.0
1787792170.2118356,323000,0.0
1787792184.1742923,324000,0.0
1787792198.1506135,325000,0.0
1787792212.048435,326000,0.0
1787792225.9866383,327000,0.0
1787792239.9541824,328000,0.0
1787792253.8668091,329000,0.0
1787792267.8224485,330000,0.0
1787792281.833952,331000,0.0
1787792295.767824,332000,0.0
1787792309.8007677,333000,0.0
1787792323.763401,334000,0.0
1787792337.782117,335000,0.0
1787792351.818143,336000,0.0
1787792365.83676,337000,0.0
