wall_time,step,value
1787787754.902995,1000,-6.464684963226318
1787787759.756544,2000,-6.583065032958984
1787787764.6654313,3000,-6.697757720947266
1787787769.5989792,4000,-6.6975274085998535
1787787774.478036,5000,-6.761679172515869
1787787779.3618627,6000,-6.66019344329834
1787787784.264868,7000,-6.835999011993408
1787787789.2028904,8000,-6.838356018066406
1787787794.1488957,9000,-6.616297721862793
1787787799.040842,10000,-6.616217136383057
1787787806.188437,11000,-6.759990215301514
1787787813.3490777,12000,-4.705513000488281
1787787820.804156,13000,-4.839184761047363
1787787832.529186,14000,-6.061461448669434
1787787847.7039902,15000,-6.880166530609131
1787787862.6998823,16000,-6.166101455688477
1787787877.6965728,17000,-5.163593292236328
1787787892.7739115,18000,-5.528610706329346
1787787907.8538089,19000,-4.9978532791137695
1787787922.8481386,20000,-6.033716678619385
1787787937.4336646,21000,-5.327556610107422
1787787951.6538904,22000,-5.490762233734131
1787787965.8431497,23000,-5.826107501983643
1787787979.997636,24000,-4.519383430480957
1787787994.2187204,25000,-4.946699619293213
1787788008.3997455,26000,-5.205242156982422
1787788022.6245801,27000,-5.535752296447754
1787788036.7830899,28000,-6.791094779968262
1787788050.9092078,29000,-8.322587966918945
1787788064.991161,30000,-8.690620422363281
1787788078.9840677,31000,-12.732797622680664
1787788093.0570621,32000,-13.356597900390625
1787788107.1906908,33000,-12.343737602233887
1787788121.236149,34000,-16.58832359313965
1787788135.338971,35000,-18.081096649169922
1787788149.4723375,36000,-12.0777006149292
1787788163.4267085,37000,-19.53982925415039
1787788177.6374226,38000,-12.888694763183594
1787788191.577687,39000,-19.43581771850586
1787788205.5614593,40000,-20.947174072265625
1787788219.5701272,41000,-22.75304412841797
1787788233.5336957,42000,-27.138072967529297
1787788247.5015354,43000,-26.11315155029297
1787788261.4721491,44000,-26.521699905395508
1787788275.4827943,45000,-28.424354553222656
1787788289.4578736,46000,-25.136280059814453
1787788303.4566202,47000,-26.30744171142578
1787788317.482004,48000,-26.973007202148438
1787788331.4288266,49000,-26.674421310424805
1787788345.4227238,50000,-25.815826416015625
1787788359.422601,51000,-24.408363342285156
1787788373.470941,52000,-24.48544692993164
1787788387.4074118,53000,-25.635147094726562
1787788401.3100436,54000,-25.64578628540039
1787788415.3163693,55000,-26.588340759277344
1787788429.2012637,56000,-24.390573501586914
1787788443.161747,57000,-22.80178451538086
1787788457.1744223,58000,-26.85664176940918
1787788471.1059372,59000,-26.194398880004883
1787788485.1085722,60000,-25.13546371459961
1787788498.971091,61000,-25.168609619140625
1787788512.8956916,62000,-26.96778678894043
1787788526.8344314,63000,-24.697933197021484
1787788540.8578124,64000,-25.110261917114258
1787788554.8714652,65000,-27.696414947509766
1787788568.9053357,66000,-25.010326385498047
1787788582.8325593,67000,-25.774953842163086
1787788596.8527904,68000,-23.994813919067383
1787788610.831151,69000,-26.551471710205078
1787788624.864952,70000,-26.088523864746094
1787788638.8050158,71000,-25.32530403137207
1787788652.7086134,72000,-24.804500579833984
1787788666.6986475,73000,-25.02222442626953
1787788680.7373202,74000,-24.062788009643555
1787788694.7130017,75000,-23.324787139892578
1787788708.7839136,76000,-22.430538177490234
1787788722.6603305,77000,-21.310197830200195
1787788736.657012,78000,-22.65709686279297
1787788750.6745937,79000,-22.18557357788086
1787788764.7181294,80000,-22.298782348632812
1787788778.739592,81000,-22.599895477294922
1787788792.7463946,82000,-21.16533851623535
1787788806.736175,83000,-15.85555648803711
1787788820.7491608,84000,-22.47214126586914
1787788834.775763,85000,-22.817195892333984
1787788848.7258134,86000,-20.839466094970703
1787788862.722479,87000,-19.918413162231445
1787788876.631163,88000,-20.184585571289062
1787788890.55201,89000,-20.447866439819336
1787788904.6654994,90000,-16.05577278137207
1787788918.6650312,91000,-21.83526611328125
1787788932.6254115,92000,-22.586416244506836
1787788946.6108167,93000,-21.773427963256836
1787788960.6372476,94000,-21.084548950195312
1787788974.597343,95000,-22.375734329223633
1787788988.6562614,96000,-25.089263916015625
1787789002.6484838,97000,-19.801389694213867
1787789016.664514,98000,-21.485286712646484
1787789030.6356664,99000,-21.717321395874023
1787789044.6409678,100000,-22.113006591796875
