wall_time,step,value
1787787754.9023654,1000,-200.0
1787787759.7559507,2000,-200.0
1787787764.6648798,3000,-200.0
1787787769.5984368,4000,-200.0
1787787774.4774215,5000,-200.0
1787787779.3613148,6000,-200.0
1787787784.26433,7000,-200.0
1787787789.2024112,8000,-200.0
1787787794.148373,9000,-200.0
1787787799.0402122,10000,-200.0
1787787806.1872923,11000,-200.0
1787787813.347886,12000,-200.0
1787787820.8027616,13000,-200.0
1787787832.528072,14000,-200.0
1787787847.7029035,15000,-200.0
1787787862.698802,16000,-200.0
1787787877.6955328,17000,-200.0
1787787892.7728648,18000,-200.0
1787787907.8527358,19000,-200.0
1787787922.8471093,20000,-200.0
1787787937.4324765,21000,-200.0
1787787951.6527367,22000,-200.0
1787787965.8421454,23000,-200.0
1787787979.9950538,24000,-200.0
1787787994.2176743,25000,-200.0
1787788008.3971283,26000,-200.0
1787788022.6234386,27000,-200.0
1787788036.781949,28000,-200.0
1787788050.9079907,29000,-200.0
1787788064.9901092,30000,-200.0
1787788078.9829628,31000,-200.0
1787788093.0559368,32000,-200.0
1787788107.1894405,33000,-200.0
1787788121.2350404,34000,-200.0
1787788135.3378782,35000,-200.0
1787788149.4713037,36000,-200.0
1787788163.4256225,37000,-200.0
1787788177.636309,38000,-200.0
1787788191.5766985,39000,-200.0
1787788205.5603578,40000,-200.0
1787788219.5690942,41000,-200.0
1787788233.532778,42000,-0.8971285820007324
1787788247.5005584,43000,-0.479899525642395
1787788261.4711297,44000,-0.6133382320404053
1787788275.481786,45000,-0.5069422721862793
1787788289.4568124,46000,-0.5446739196777344
1787788303.455556,47000,-0.2941763401031494
1787788317.481032,48000,-0.3712477684020996
1787788331.4278302,49000,-0.3137972354888916
1787788345.4217858,50000,-0.20325863361358643
1787788359.4214768,51000,-0.33770668506622314
1787788373.4699695,52000,-0.3783012628555298
1787788387.406425,53000,-0.23008131980895996
1787788401.3090527,54000,-0.40988707542419434
1787788415.315392,55000,-0.32602763175964355
1787788429.2003102,56000,-0.1328791379928589
1787788443.1606908,57000,-0.5343949794769287
1787788457.1734378,58000,-0.1260296106338501
1787788471.1048856,59000,0.1202843189239502
1787788485.107734,60000,-0.2718799114227295
1787788498.9701133,61000,0.062217116355895996
1787788512.8947012,62000,-0.2575126886367798
1787788526.8333745,63000,-0.2212141752243042
1787788540.856821,64000,-0.45699524879455566
1787788554.8703828,65000,-0.23772025108337402
