env_id,episode_id,end_global_step,length_steps,reason
2,0,181,181,truncated
0,0,275,275,terminated
3,0,296,296,truncated
1,0,337,337,terminated
2,1,403,222,terminated
0,1,531,256,terminated
1,1,665,328,terminated
2,2,704,301,terminated
3,1,795,499,truncated
0,2,941,410,terminated
1,2,946,281,terminated
3,2,1064,269,terminated
2,3,1095,391,terminated
1,3,1180,234,terminated
0,3,1218,277,terminated
3,3,1324,260,terminated
2,4,1367,272,terminated
0,4,1433,215,terminated
1,4,1529,349,terminated
2,5,1608,241,terminated
3,4,1613,289,terminated
0,5,1683,250,terminated
1,5,1778,249,terminated
3,5,1832,219,terminated
0,6,1941,258,terminated
2,6,2107,499,truncated
1,6,2143,365,terminated
3,6,2213,381,terminated
2,7,2376,269,terminated
1,7,2384,241,terminated
0,7,2388,447,terminated
3,7,2511,298,terminated
1,8,2608,224,terminated
0,8,2664,276,terminated
2,8,2686,310,terminated
2,9,2865,179,terminated
3,8,2884,373,terminated
0,9,2885,221,terminated
1,9,3006,398,terminated
0,10,3165,280,terminated
2,10,3256,391,terminated
1,10,3288,282,terminated
3,9,3326,442,terminated
0,11,3482,317,terminated
1,11,3496,208,terminated
3,10,3659,333,terminated
1,12,3725,229,terminated
2,11,3737,481,terminated
0,12,3883,401,terminated
3,11,3976,317,terminated
2,12,4076,339,terminated
1,13,4128,403,terminated
0,13,4304,421,terminated
3,12,4375,399,terminated
1,14,4392,264,terminated
2,13,4500,424,terminated
0,14,4514,210,terminated
3,13,4667,292,terminated
1,15,4675,283,terminated
0,15,4747,233,terminated
2,14,4840,340,terminated
1,16,4900,225,terminated
0,16,5012,265,terminated
2,15,5027,187,terminated
3,14,5051,384,terminated
1,17,5167,267,terminated
2,16,5271,244,terminated
3,15,5376,325,terminated
1,18,5460,293,terminated
0,17,5511,499,truncated
1,19,5637,177,terminated
3,16,5637,261,terminated
2,17,5716,445,terminated
0,18,5836,325,terminated
3,17,5966,329,terminated
2,18,6069,353,terminated
1,20,6095,458,terminated
0,19,6145,309,terminated
3,18,6186,220,terminated
2,19,6470,401,terminated
0,20,6490,345,terminated
1,21,6510,415,terminated
3,19,6516,330,terminated
2,20,6826,356,terminated
0,21,6829,339,terminated
3,20,6875,359,terminated
1,22,6883,373,terminated
3,21,7042,167,terminated
2,21,7094,268,terminated
0,22,7163,334,terminated
1,23,7214,331,terminated
3,22,7376,334,terminated
0,23,7483,320,terminated
2,22,7488,394,terminated
1,24,7603,389,terminated
0,24,7720,237,terminated
3,23,7811,435,terminated
1,25,7838,235,terminated
2,23,7840,352,terminated
0,25,8020,300,terminated
3,24,8114,303,terminated
1,26,8156,318,terminated
2,24,8223,383,terminated
0,26,8331,311,terminated
1,27,8402,246,terminated
3,25,8477,363,terminated
2,25,8556,333,terminated
0,27,8624,293,terminated
1,28,8655,253,terminated
3,26,8764,287,terminated
2,26,8827,271,terminated
1,29,8964,309,terminated
3,27,8973,209,terminated
0,28,9039,415,terminated
2,27,9177,350,terminated
3,28,9179,206,terminated
0,29,9391,352,terminated
3,29,9397,218,terminated
1,30,9418,454,terminated
2,28,9486,309,terminated
1,31,9672,254,terminated
0,30,9679,288,terminated
2,29,9720,234,terminated
3,30,9757,360,terminated
1,32,9987,315,terminated
3,31,10044,287,terminated
2,30,10073,353,terminated
0,31,10139,460,terminated
3,32,10259,215,terminated
1,33,10267,280,terminated
0,32,10366,227,terminated
2,31,10402,329,terminated
1,34,10446,179,terminated
3,33,10493,234,terminated
2,32,10690,288,terminated
0,33,10784,418,terminated
1,35,10799,353,terminated
3,34,10992,499,truncated
0,34,11011,227,terminated
2,33,11097,407,terminated
3,35,11173,181,terminated
1,36,11212,413,terminated
0,35,11278,267,terminated
3,36,11409,236,terminated
1,37,11415,203,terminated
2,34,11482,385,terminated
2,35,11703,221,terminated
0,36,11724,446,terminated
3,37,11731,322,terminated
1,38,11765,350,terminated
